DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,6.1,12.6,48.2,100%,47.0,1.3
3 Pointers,1.3,3.3,38.4,26.2%,34.8,3.6
2 Pointers,4.8,9.3,51.8,73.8%,50.6,1.2
Less Than 6 Ft,3.1,5.3,59.3,41.6%,60.5,-1.2
Less Than 10 Ft,3.8,7.0,54.1,55.1%,55.5,-1.3
Greater Than 15 Ft,1.9,4.9,39.4,38.7%,36.7,2.7
