DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,6.0,13.2,45.8,100%,48.2,-2.4
3 Pointers,0.8,2.2,34.0,16.7%,36.4,-2.5
2 Pointers,5.3,11.0,48.2,83.3%,51.6,-3.4
Less Than 6 Ft,2.7,4.8,56.2,36.8%,61.6,-5.4
Less Than 10 Ft,3.5,7.0,50.4,52.9%,56.7,-6.3
Greater Than 15 Ft,2.0,4.9,39.8,37.3%,39.0,0.9
