DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.4,5.6,42.8,100%,43.9,-1.1
3 Pointers,0.6,1.7,35.1,30.8%,35.7,-0.7
2 Pointers,1.8,3.8,46.2,69.2%,48.3,-2.1
Less Than 6 Ft,1.2,2.0,57.8,36.0%,59.1,-1.3
Less Than 10 Ft,1.4,2.7,50.8,48.0%,53.8,-3.0
Greater Than 15 Ft,0.9,2.5,35.7,44.8%,36.6,-0.9
