,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - IND vs. CLE",L,240,117,41,82,50.0,13,25,52.0,22,26,84.6,7,31,38,24,7,2,12,18,2017-02-08 00:00:00,CLE,HOME
1,"FEB 06, 2017 - IND vs. OKC",W,240,93,33,87,37.9,8,26,30.8,19,29,65.5,13,24,37,19,7,9,10,17,2017-02-06 00:00:00,OKC,HOME
2,"FEB 04, 2017 - IND vs. DET",W,240,105,44,91,48.4,7,24,29.2,10,15,66.7,7,34,41,22,11,4,6,17,2017-02-04 00:00:00,DET,HOME
3,"FEB 03, 2017 - IND @ BKN",W,240,106,37,86,43.0,8,20,40.0,24,31,77.4,12,37,49,20,11,10,14,19,2017-02-03 00:00:00,BKN,AWAY
4,"FEB 01, 2017 - IND @ ORL",W,240,98,33,69,47.8,9,20,45.0,23,26,88.5,5,33,38,25,5,1,17,23,2017-02-01 00:00:00,ORL,AWAY
5,"JAN 29, 2017 - IND vs. HOU",W,240,120,47,87,54.0,5,21,23.8,21,26,80.8,7,35,42,28,9,7,10,21,2017-01-29 00:00:00,HOU,HOME
6,"JAN 27, 2017 - IND vs. SAC",W,265,115,38,78,48.7,10,28,35.7,29,33,87.9,7,22,29,19,14,4,10,24,2017-01-27 00:00:00,SAC,HOME
7,"JAN 26, 2017 - IND @ MIN",W,240,109,42,81,51.9,10,18,55.6,15,17,88.2,6,38,44,21,7,4,18,22,2017-01-26 00:00:00,MIN,AWAY
8,"JAN 23, 2017 - IND vs. NYK",L,240,103,38,86,44.2,7,26,26.9,20,25,80.0,7,30,37,18,7,4,11,20,2017-01-23 00:00:00,NYK,HOME
9,"JAN 21, 2017 - IND @ UTA",L,240,100,39,77,50.6,10,20,50.0,12,17,70.6,4,32,36,17,10,3,16,23,2017-01-21 00:00:00,UTA,AWAY
10,"JAN 20, 2017 - IND @ LAL",L,240,95,34,80,42.5,9,23,39.1,18,25,72.0,8,29,37,24,17,6,20,12,2017-01-20 00:00:00,LAL,AWAY
11,"JAN 18, 2017 - IND @ SAC",W,240,106,39,75,52.0,7,21,33.3,21,25,84.0,8,24,32,22,11,3,14,21,2017-01-18 00:00:00,SAC,AWAY
