,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.6,103.3,21,32,0.396,37.5,82.2,45.7,9.1,25.2,36.2,19.1,24.5,77.9,9.1,31.7,40.8,22.5,14.4,8.1,4.0,21.0,-2.6,37.7,81.4,46.3,11.0,29.5,37.2,19.6,25.1,77.9,9.8,32.5,42.3,23.0,14.6,8.2,5.4,4.0,21.3,105.9
1,Home,25,48.2,105.4,10,15,0.4,37.9,80.8,46.9,9.3,25.1,37.2,20.4,25.1,81.2,8.4,31.5,39.9,23.2,15.3,8.0,3.9,20.9,-1.1,38.1,81.4,46.8,10.4,28.4,36.4,20.0,25.4,78.7,9.3,30.9,40.2,22.2,14.2,8.6,5.2,3.9,21.4,106.5
2,Road,28,48.9,101.4,11,17,0.393,37.2,83.3,44.7,8.9,25.3,35.4,18.0,24.1,74.8,9.8,31.8,41.6,22.0,13.5,8.2,4.2,21.1,-4.0,37.3,81.4,45.8,11.5,30.5,37.8,19.2,24.9,77.2,10.3,33.9,44.1,23.7,15.1,7.9,5.5,4.2,21.1,105.4
3,Wins,21,48.5,109.1,21,0,1.0,40.4,82.9,48.8,9.8,24.4,40.0,18.5,23.9,77.3,8.8,32.1,40.9,23.8,13.4,7.9,3.9,20.4,8.8,35.7,80.1,44.6,9.8,29.1,33.7,19.0,24.8,76.8,9.5,30.6,40.1,21.0,14.6,7.5,5.2,3.9,22.7,100.3
4,Losses,32,48.6,99.5,0,32,0.0,35.6,81.7,43.6,8.7,25.7,33.8,19.5,25.0,78.2,9.4,31.4,40.8,21.7,15.0,8.3,4.1,21.4,-10.2,39.0,82.2,47.4,11.8,29.8,39.4,19.9,25.3,78.7,10.0,33.7,43.7,24.3,14.7,8.7,5.5,4.1,20.3,109.6
5,October,4,48.0,102.0,2,2,0.5,36.8,79.0,46.5,7.8,22.5,34.4,20.8,27.0,76.9,8.3,29.3,37.5,24.0,15.5,7.0,4.0,24.8,0.8,35.5,76.3,46.6,7.0,21.5,32.6,23.3,33.0,70.5,10.8,29.3,40.0,21.5,13.8,8.3,5.5,4.0,25.0,101.3
6,November,14,49.1,103.5,5,9,0.357,38.0,84.4,45.0,8.3,23.5,35.3,19.2,24.7,77.7,9.6,33.0,42.6,21.4,14.4,7.7,3.8,20.3,-2.9,37.8,83.0,45.5,11.3,30.4,37.2,19.5,24.9,78.4,9.3,33.3,42.6,23.3,14.6,8.0,5.6,3.8,21.4,106.4
7,December,15,48.0,100.1,7,8,0.467,36.3,82.8,43.8,9.3,26.3,35.3,18.3,23.7,77.0,9.9,31.2,41.1,20.9,13.1,8.5,4.4,19.5,-3.1,37.1,81.1,45.8,11.2,29.3,38.2,17.7,22.3,79.3,10.8,34.3,45.1,22.3,15.6,7.5,5.9,4.4,20.9,103.1
8,January,16,48.6,105.6,5,11,0.313,37.6,79.9,47.1,9.9,26.1,38.0,20.4,26.2,77.8,8.8,30.6,39.4,24.1,14.9,8.4,4.1,21.9,-4.3,39.3,82.0,47.9,11.6,30.7,37.7,19.7,25.1,78.6,9.8,31.1,40.9,24.9,14.2,8.9,4.9,4.1,21.3,109.9
9,February,4,49.3,106.8,2,2,0.5,41.0,84.0,48.8,9.5,25.8,36.9,15.3,18.0,84.7,6.8,35.5,42.3,24.8,15.8,7.8,3.5,21.5,3.0,35.0,79.5,44.0,10.8,31.0,34.7,23.0,29.3,78.6,7.0,31.3,38.3,18.0,14.0,8.8,4.5,3.5,18.5,103.8
10,Pre All-Star,53,48.6,103.3,21,32,0.396,37.5,82.2,45.7,9.1,25.2,36.2,19.1,24.5,77.9,9.1,31.7,40.8,22.5,14.4,8.1,4.0,21.0,-2.6,37.7,81.4,46.3,11.0,29.5,37.2,19.6,25.1,77.9,9.8,32.5,42.3,23.0,14.6,8.2,5.4,4.0,21.3,105.9
11,0 Days Rest,12,49.7,98.4,4,8,0.333,36.3,83.1,43.7,7.3,22.8,31.9,18.5,25.3,73.3,9.4,32.4,41.8,20.3,13.8,7.8,3.9,21.1,-5.5,36.0,81.1,44.4,10.8,30.2,35.9,21.1,26.0,81.1,9.3,34.9,44.3,23.5,14.7,7.8,7.2,3.9,21.8,103.9
12,1 Days Rest,30,48.3,103.9,12,18,0.4,37.3,81.5,45.7,9.9,26.3,37.5,19.5,24.8,78.6,8.8,31.2,40.0,23.0,14.4,8.6,4.1,21.6,-3.5,38.2,81.6,46.9,11.0,29.7,37.2,19.8,26.0,76.2,10.5,32.4,43.0,23.1,14.7,8.2,4.9,4.1,20.9,107.3
13,2 Days Rest,8,48.0,108.4,4,4,0.5,40.3,82.8,48.6,9.9,25.6,38.5,18.0,21.6,83.2,9.1,31.1,40.3,24.4,15.0,7.4,3.4,19.9,2.6,37.9,80.1,47.3,11.9,30.0,39.6,18.1,22.5,80.6,7.8,29.5,37.3,21.1,14.3,8.5,4.1,3.4,20.8,105.8
14,3 Days Rest,1,48.0,92.0,0,1,0.0,33.0,88.0,37.5,6.0,26.0,23.1,20.0,25.0,80.0,14.0,37.0,51.0,22.0,14.0,9.0,10.0,16.0,-5.0,36.0,88.0,40.9,11.0,28.0,39.3,14.0,15.0,93.3,11.0,34.0,45.0,25.0,15.0,10.0,9.0,10.0,22.0,97.0
15,4 Days Rest,1,48.0,105.0,0,1,0.0,36.0,76.0,47.4,9.0,20.0,45.0,24.0,31.0,77.4,10.0,36.0,46.0,21.0,17.0,5.0,3.0,17.0,-5.0,43.0,88.0,48.9,11.0,30.0,36.7,13.0,17.0,76.5,9.0,28.0,37.0,29.0,11.0,11.0,7.0,3.0,21.0,110.0
16,6+ Days Rest,1,48.0,113.0,1,0,1.0,44.0,86.0,51.2,6.0,21.0,28.6,19.0,26.0,73.1,10.0,31.0,41.0,24.0,14.0,5.0,5.0,20.0,19.0,36.0,77.0,46.8,4.0,16.0,25.0,18.0,27.0,66.7,10.0,31.0,41.0,20.0,18.0,6.0,3.0,5.0,29.0,94.0
