DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.6,5.8,45.7,100%,44.1,1.6
3 Pointers,0.8,2.1,36.4,35.9%,35.7,0.6
2 Pointers,1.9,3.7,50.8,64.1%,47.8,3.1
Less Than 6 Ft,1.1,1.6,68.0,27.2%,60.5,7.5
Less Than 10 Ft,1.4,2.2,62.9,38.0%,53.4,9.5
Greater Than 15 Ft,0.9,2.8,31.1,48.9%,37.4,-6.3
