DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,5.8,11.6,49.9,100%,48.2,1.7
3 Pointers,0.8,2.0,43.3,16.9%,36.7,6.6
2 Pointers,5.0,9.7,51.3,83.1%,51.5,-0.2
Less Than 6 Ft,2.9,5.4,53.0,46.5%,61.5,-8.5
Less Than 10 Ft,3.6,7.1,51.2,61.1%,56.6,-5.4
Greater Than 15 Ft,1.7,3.6,46.6,30.6%,38.3,8.2
