DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.5,3.7,40.5,100%,43.8,-3.2
3 Pointers,0.3,1.4,21.4,37.8%,32.4,-11.0
2 Pointers,1.2,2.3,52.2,62.2%,48.1,4.0
Less Than 6 Ft,0.6,0.8,75.0,21.6%,60.6,14.4
Less Than 10 Ft,0.9,1.6,56.3,43.2%,53.6,2.7
Greater Than 15 Ft,0.5,1.8,27.8,48.6%,34.2,-6.4
