DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.7,6.3,43.7,100%,43.7,-0.1
3 Pointers,0.8,2.4,33.6,38.6%,34.9,-1.3
2 Pointers,1.9,3.9,50.0,61.4%,48.6,1.4
Less Than 6 Ft,1.0,1.5,65.8,23.8%,60.2,5.6
Less Than 10 Ft,1.1,2.0,57.7,31.3%,54.8,2.8
Greater Than 15 Ft,1.4,3.7,37.4,59.6%,35.5,1.8
