,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,56,48.4,114.2,39,17,0.696,40.4,86.8,46.5,14.4,39.9,36.2,19.0,24.9,76.1,10.5,33.4,43.8,25.5,15.4,8.3,4.6,20.0,6.3,40.4,87.5,46.1,9.8,28.0,35.1,17.4,22.4,77.5,10.3,32.9,43.1,23.2,15.2,8.7,5.0,4.6,20.1,107.9
1,Home,26,48.2,115.3,20,6,0.769,40.8,88.1,46.3,14.7,41.2,35.7,19.1,25.3,75.4,11.0,34.8,45.8,26.0,14.3,8.1,4.7,18.5,10.1,40.1,88.7,45.2,9.6,28.2,34.2,15.5,20.4,75.8,10.2,33.6,43.8,22.7,15.0,8.1,5.3,4.7,19.9,105.2
2,Road,30,48.5,113.2,19,11,0.633,40.1,85.7,46.8,14.2,38.7,36.8,18.9,24.6,76.8,10.0,32.1,42.1,25.1,16.3,8.5,4.5,21.3,2.9,40.6,86.4,47.0,10.0,27.9,35.9,19.1,24.2,78.8,10.3,32.3,42.5,23.6,15.4,9.2,4.6,4.5,20.2,110.3
3,Wins,39,48.5,117.9,39,0,1.0,41.6,86.7,48.0,15.5,40.0,38.7,19.1,25.4,75.1,10.2,35.7,45.9,26.3,15.2,8.5,4.8,19.9,13.3,39.1,89.3,43.8,9.5,28.7,33.0,16.9,21.9,77.0,10.8,32.2,43.1,22.1,14.9,8.3,4.8,4.8,20.2,104.6
4,Losses,17,48.0,105.8,0,17,0.0,37.5,86.9,43.2,12.1,39.5,30.6,18.7,23.8,78.7,11.0,28.1,39.1,23.7,15.8,7.9,4.1,20.2,-9.8,43.2,83.3,51.8,10.7,26.6,40.3,18.6,23.6,78.6,8.9,34.4,43.4,25.8,15.9,9.5,5.4,4.1,19.9,115.6
5,October,3,48.0,104.3,2,1,0.667,37.0,78.7,47.0,11.0,30.7,35.9,19.3,26.3,73.4,8.0,34.0,42.0,22.0,17.0,7.0,2.0,22.0,1.0,37.3,84.3,44.3,10.3,31.3,33.0,18.3,22.0,83.3,9.7,28.7,38.3,17.0,13.0,9.7,3.0,2.0,20.7,103.3
6,November,15,48.0,110.3,9,6,0.6,40.1,86.4,46.5,14.4,37.8,38.1,15.6,20.7,75.2,12.0,31.5,43.5,24.6,15.8,7.0,5.6,19.9,3.4,39.4,83.9,46.9,9.9,25.0,39.5,18.2,23.0,79.1,8.9,31.0,39.9,22.6,14.0,8.5,5.4,5.6,18.1,106.9
7,December,17,48.9,120.9,15,2,0.882,42.2,88.7,47.5,16.4,42.9,38.3,20.2,26.4,76.6,11.4,35.6,46.9,27.5,15.8,9.1,4.2,19.8,12.9,40.3,91.5,44.0,9.9,29.1,33.9,17.6,23.2,75.9,12.1,32.2,44.2,21.8,15.2,8.6,4.8,4.2,20.6,108.1
8,January,17,48.0,112.3,10,7,0.588,39.4,85.5,46.1,13.1,39.5,33.2,20.4,26.1,77.9,9.2,32.5,41.7,25.2,15.1,8.5,4.7,20.1,2.5,41.2,86.6,47.6,10.2,29.4,34.8,17.1,22.1,77.1,9.6,34.3,43.9,25.2,15.9,9.1,5.1,4.7,21.1,109.8
9,February,4,49.3,116.0,3,1,0.75,40.5,91.5,44.3,14.5,43.0,33.7,20.5,28.5,71.9,8.3,33.8,42.0,24.0,12.3,10.0,3.5,19.3,8.8,42.8,89.5,47.8,7.5,26.5,28.3,14.3,18.8,76.0,10.5,40.3,50.8,27.5,18.5,7.5,5.0,3.5,20.8,107.3
10,Pre All-Star,56,48.4,114.2,39,17,0.696,40.4,86.8,46.5,14.4,39.9,36.2,19.0,24.9,76.1,10.5,33.4,43.8,25.5,15.4,8.3,4.6,20.0,6.3,40.4,87.5,46.1,9.8,28.0,35.1,17.4,22.4,77.5,10.3,32.9,43.1,23.2,15.2,8.7,5.0,4.6,20.1,107.9
11,0 Days Rest,13,48.8,117.3,12,1,0.923,41.6,88.0,47.3,16.5,41.7,39.5,17.6,23.2,76.1,10.8,34.6,45.5,26.2,14.4,8.2,5.2,19.8,11.9,40.3,91.5,44.1,9.2,27.8,32.9,15.6,20.8,74.9,13.1,32.2,45.2,22.9,13.8,7.5,5.2,5.2,19.1,105.4
12,1 Days Rest,34,48.3,112.8,22,12,0.647,40.0,86.5,46.3,14.2,39.5,36.0,18.6,24.6,75.4,10.1,32.9,43.0,25.2,15.6,8.1,4.4,20.3,4.6,39.9,85.5,46.6,10.2,28.3,36.0,18.2,23.2,78.7,9.0,33.2,42.1,23.5,15.7,8.9,4.6,4.4,20.3,108.2
13,2 Days Rest,7,48.0,113.3,4,3,0.571,38.9,85.9,45.3,12.7,40.1,31.7,22.9,27.9,82.1,11.9,34.0,45.9,24.3,16.7,8.9,5.0,19.3,2.9,41.9,89.3,46.9,9.7,26.6,36.6,17.0,22.1,76.8,11.1,33.0,44.1,21.7,15.0,10.1,6.4,5.0,20.0,110.4
14,3 Days Rest,1,48.0,128.0,1,0,1.0,44.0,89.0,49.4,16.0,38.0,42.1,24.0,36.0,66.7,10.0,32.0,42.0,31.0,11.0,9.0,2.0,15.0,24.0,42.0,88.0,47.7,6.0,25.0,24.0,14.0,20.0,70.0,10.0,37.0,47.0,28.0,16.0,7.0,4.0,2.0,23.0,104.0
15,4 Days Rest,1,48.0,114.0,0,1,0.0,44.0,86.0,51.2,7.0,29.0,24.1,19.0,27.0,70.4,10.0,29.0,39.0,29.0,15.0,10.0,1.0,23.0,-6.0,45.0,89.0,50.6,12.0,35.0,34.3,18.0,22.0,81.8,11.0,28.0,39.0,21.0,16.0,10.0,4.0,1.0,24.0,120.0
