DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.8,11.2,43.3,100%,45.5,-2.2
3 Pointers,1.3,4.4,29.7,39.6%,35.5,-5.8
2 Pointers,3.5,6.8,52.2,60.4%,50.3,1.8
Less Than 6 Ft,2.2,3.3,66.7,29.7%,60.7,5.9
Less Than 10 Ft,2.7,4.7,57.7,42.4%,55.8,1.9
Greater Than 15 Ft,1.8,5.7,32.0,51.3%,37.0,-5.0
