DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.2,8.3,50.0,100%,48.9,1.1
3 Pointers,0.2,0.9,17.6,10.8%,36.7,-19.1
2 Pointers,4.0,7.4,53.9,89.2%,52.5,1.4
Less Than 6 Ft,2.5,4.8,51.6,57.6%,63.0,-11.4
Less Than 10 Ft,2.9,5.6,51.9,67.1%,58.0,-6.1
Greater Than 15 Ft,0.7,1.8,41.2,21.5%,37.6,3.6
