,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.4,98.0,21,32,0.396,36.3,82.2,44.1,10.7,29.9,35.8,14.8,18.4,80.2,8.0,30.1,38.1,20.0,11.7,7.7,3.8,19.4,-2.6,36.7,78.1,46.9,9.7,24.7,39.1,17.6,22.8,77.2,8.8,35.4,44.3,20.6,15.2,6.2,3.5,3.8,19.5,100.6
1,Home,26,48.6,99.9,13,13,0.5,36.3,81.6,44.4,10.6,29.7,35.8,16.8,20.3,82.4,8.2,31.6,39.8,19.7,11.9,7.9,4.0,19.1,1.8,35.7,79.0,45.2,9.0,24.6,36.6,17.6,22.2,79.4,9.4,35.5,44.9,19.0,15.4,6.5,3.3,4.0,20.3,98.1
2,Road,27,48.2,96.1,8,19,0.296,36.3,82.7,43.9,10.7,30.0,35.8,12.8,16.5,77.6,7.7,28.6,36.4,20.4,11.5,7.6,3.7,19.6,-7.0,37.6,77.3,48.7,10.3,24.8,41.6,17.6,23.3,75.2,8.3,35.4,43.7,22.1,15.1,6.0,3.6,3.7,18.8,103.0
3,Wins,21,48.5,104.4,21,0,1.0,38.5,82.3,46.8,11.5,30.1,38.1,15.9,19.3,82.0,8.4,32.0,40.3,21.5,11.0,9.0,4.0,17.7,11.6,34.8,78.8,44.2,8.2,24.1,34.2,15.0,19.4,77.1,9.1,33.1,42.2,18.2,16.0,5.8,3.2,4.0,19.9,92.8
4,Losses,32,48.3,93.8,0,32,0.0,34.8,82.0,42.4,10.2,29.7,34.2,14.0,17.8,78.9,7.7,28.9,36.6,19.1,12.2,6.9,3.7,20.4,-12.0,37.9,77.7,48.8,10.6,25.1,42.3,19.3,25.0,77.3,8.7,37.0,45.6,22.2,14.8,6.5,3.6,3.7,19.3,105.7
5,October,3,49.7,103.7,0,3,0.0,37.3,89.3,41.8,12.3,35.7,34.6,16.7,20.7,80.6,9.3,32.3,41.7,18.7,12.7,9.0,4.3,21.7,-6.0,38.0,81.0,46.9,12.0,27.3,43.9,21.7,28.7,75.6,7.3,39.0,46.3,22.3,17.3,7.3,3.7,4.3,22.0,109.7
6,November,14,48.4,88.6,3,11,0.214,33.2,81.1,40.9,8.6,27.8,30.8,13.6,17.1,79.5,8.9,31.2,40.1,17.9,13.1,7.4,3.8,18.7,-9.4,35.6,78.1,45.6,10.6,26.4,40.3,16.1,21.2,76.1,8.6,36.1,44.6,20.6,15.5,7.4,3.6,3.8,19.1,97.9
7,December,17,48.0,98.9,7,10,0.412,36.6,81.8,44.8,11.4,30.8,37.0,14.2,18.0,79.1,8.5,28.0,36.5,21.2,11.5,8.4,3.5,18.6,-2.2,36.7,74.8,49.1,9.7,24.6,39.5,18.1,22.8,79.1,8.0,34.8,42.8,21.3,15.1,5.8,3.4,3.5,18.5,101.2
8,January,14,48.4,101.9,8,6,0.571,37.9,82.6,45.9,11.6,30.9,37.7,14.4,17.4,82.7,6.9,30.6,37.6,21.2,11.1,7.0,4.1,20.1,3.0,36.4,79.5,45.8,8.0,21.5,37.2,18.0,23.8,75.7,9.6,35.0,44.6,19.0,15.0,5.6,3.1,4.1,19.7,98.9
9,February,5,49.0,106.6,3,2,0.6,38.2,80.6,47.4,10.4,26.2,39.7,19.8,25.0,79.2,5.6,31.2,36.8,19.8,9.6,7.8,4.0,20.4,1.0,39.6,84.0,47.1,10.0,27.4,36.5,16.4,20.6,79.6,11.2,34.8,46.0,21.6,14.6,5.8,4.2,4.0,22.2,105.6
10,Pre All-Star,53,48.4,98.0,21,32,0.396,36.3,82.2,44.1,10.7,29.9,35.8,14.8,18.4,80.2,8.0,30.1,38.1,20.0,11.7,7.7,3.8,19.4,-2.6,36.7,78.1,46.9,9.7,24.7,39.1,17.6,22.8,77.2,8.8,35.4,44.3,20.6,15.2,6.2,3.5,3.8,19.5,100.6
11,0 Days Rest,11,48.5,99.2,1,10,0.091,35.9,83.6,42.9,10.5,29.5,35.7,16.8,20.6,81.5,8.0,28.8,36.8,18.8,10.5,7.5,3.6,19.7,-9.6,39.0,78.0,50.0,11.8,27.6,42.8,19.0,25.3,75.2,8.7,36.7,45.5,23.2,15.2,5.8,3.7,3.6,19.1,108.8
12,1 Days Rest,31,48.3,97.2,15,16,0.484,36.1,81.4,44.3,10.5,29.5,35.8,14.4,17.9,80.4,8.5,30.1,38.6,20.0,12.2,8.1,3.4,19.3,0.3,35.3,76.9,45.9,8.9,24.2,36.8,17.4,22.2,78.3,8.7,34.5,43.3,19.3,15.7,6.6,2.9,3.4,19.9,96.9
13,2 Days Rest,8,48.0,97.3,4,4,0.5,36.8,80.5,45.7,10.4,29.6,35.0,13.4,17.4,77.0,6.0,29.5,35.5,21.9,10.3,7.0,4.8,18.4,-3.1,37.3,79.4,46.9,9.5,22.6,42.0,16.4,22.0,74.4,9.4,36.1,45.5,20.5,13.9,5.1,4.1,4.8,18.8,100.4
14,3 Days Rest,1,48.0,113.0,1,0,1.0,37.0,78.0,47.4,17.0,32.0,53.1,22.0,24.0,91.7,2.0,40.0,42.0,20.0,15.0,4.0,3.0,21.0,8.0,41.0,92.0,44.6,11.0,30.0,36.7,12.0,14.0,85.7,5.0,33.0,38.0,27.0,10.0,6.0,7.0,3.0,19.0,105.0
15,4 Days Rest,2,50.5,99.0,0,2,0.0,38.5,94.0,41.0,11.5,37.5,30.7,10.5,14.5,72.4,10.5,34.0,44.5,20.5,14.0,8.0,7.5,21.5,-12.5,40.5,85.5,47.4,9.5,22.0,43.2,21.0,26.0,80.8,11.0,40.5,51.5,24.0,16.5,8.0,5.5,7.5,19.5,111.5
