,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.2,102.4,26,27,0.491,38.2,86.7,44.1,6.4,20.3,31.5,19.6,24.6,79.7,13.0,33.9,46.9,21.2,13.5,7.8,5.0,17.5,-0.1,39.7,86.5,45.9,9.1,24.7,36.6,14.1,18.5,76.3,10.2,32.5,42.7,24.1,13.2,7.4,4.9,5.0,19.5,102.5
1,Home,26,48.2,103.1,15,11,0.577,38.0,88.0,43.2,6.2,19.3,32.0,20.9,25.7,81.4,14.1,34.0,48.1,22.5,12.7,7.7,5.4,16.9,1.5,39.8,85.3,46.7,8.2,23.2,35.2,13.8,18.3,75.4,8.9,32.2,41.1,25.0,13.0,7.0,5.0,5.4,19.7,101.6
2,Road,27,48.2,101.7,11,16,0.407,38.4,85.3,45.0,6.6,21.2,31.1,18.4,23.6,77.9,11.9,33.9,45.8,19.8,14.1,7.9,4.6,18.0,-1.6,39.5,87.6,45.1,9.9,26.2,37.9,14.4,18.6,77.1,11.4,32.8,44.2,23.3,13.4,7.7,4.7,4.6,19.2,103.3
3,Wins,26,48.2,108.4,26,0,1.0,40.3,87.8,46.0,6.6,19.4,34.1,21.1,26.0,81.2,13.0,37.2,50.2,22.6,12.5,8.2,4.8,16.8,11.6,37.5,87.2,43.0,8.5,26.2,32.5,13.3,17.3,76.9,10.1,31.4,41.5,21.9,13.6,7.0,4.7,4.8,19.5,96.8
4,Losses,27,48.2,96.6,0,27,0.0,36.1,85.6,42.2,6.2,21.1,29.3,18.2,23.3,78.1,12.9,30.8,43.7,19.7,14.3,7.4,5.2,18.1,-11.3,41.8,85.8,48.7,9.6,23.3,41.1,14.8,19.6,75.8,10.3,33.6,43.9,26.3,12.9,7.8,5.0,5.2,19.4,108.0
5,October,3,48.0,113.7,3,0,1.0,42.0,89.0,47.2,10.3,24.3,42.5,19.3,23.0,84.1,14.7,38.7,53.3,28.3,14.7,7.3,5.3,19.0,17.7,38.0,86.7,43.8,6.7,24.0,27.8,13.3,18.0,74.1,9.0,29.0,38.0,23.3,13.3,8.7,5.3,5.3,18.7,96.0
6,November,14,48.0,102.4,7,7,0.5,38.0,88.4,43.0,6.4,20.5,31.0,20.1,24.9,80.5,13.7,34.3,48.0,19.9,12.9,8.1,5.4,17.4,3.0,37.9,86.5,43.8,9.2,24.3,37.9,14.5,19.4,74.6,11.8,33.4,45.2,22.5,13.8,7.4,4.9,5.4,20.1,99.4
7,December,17,48.0,96.6,6,11,0.353,36.5,84.6,43.1,5.1,18.5,27.6,18.6,23.6,78.8,13.5,32.8,46.4,20.5,13.9,7.4,5.1,17.4,-5.8,40.4,85.9,47.1,8.2,22.6,36.2,13.4,18.0,74.5,10.3,31.8,42.1,25.7,12.2,7.4,5.5,5.1,18.3,102.4
8,January,15,48.3,104.0,8,7,0.533,37.9,86.3,43.9,7.2,21.1,34.1,20.9,25.9,80.9,12.0,34.1,46.1,20.6,13.7,8.1,4.9,16.9,0.1,40.0,85.9,46.6,9.3,25.3,36.9,14.6,18.4,79.3,9.3,32.7,41.9,23.4,13.9,7.4,4.3,4.9,19.7,103.9
9,February,4,49.3,112.3,2,2,0.5,44.3,88.5,50.0,6.0,20.8,28.9,17.8,24.5,72.4,10.3,33.3,43.5,25.3,11.8,7.8,3.5,19.0,-0.5,42.8,90.8,47.1,13.0,34.0,38.2,14.3,17.8,80.3,8.5,34.3,42.8,26.3,12.8,6.5,4.3,3.5,22.0,112.8
10,Pre All-Star,53,48.2,102.4,26,27,0.491,38.2,86.7,44.1,6.4,20.3,31.5,19.6,24.6,79.7,13.0,33.9,46.9,21.2,13.5,7.8,5.0,17.5,-0.1,39.7,86.5,45.9,9.1,24.7,36.6,14.1,18.5,76.3,10.2,32.5,42.7,24.1,13.2,7.4,4.9,5.0,19.5,102.5
11,0 Days Rest,12,48.0,96.8,5,7,0.417,35.5,83.5,42.5,6.2,20.4,30.2,19.6,26.0,75.3,12.8,32.8,45.6,18.3,13.9,7.3,4.3,16.6,-6.9,40.0,85.5,46.8,11.3,26.1,43.1,12.4,16.6,74.9,9.8,32.8,42.6,25.7,12.4,7.8,5.0,4.3,20.3,103.7
12,1 Days Rest,30,48.2,103.0,13,17,0.433,38.8,87.8,44.2,6.3,20.0,31.3,19.2,23.5,81.7,13.4,33.6,47.0,22.0,13.5,7.5,5.5,17.2,-0.8,40.8,87.5,46.6,8.8,24.2,36.2,13.5,17.5,77.0,10.2,32.2,42.4,24.9,12.8,7.0,4.9,5.5,19.1,103.8
13,2 Days Rest,9,48.6,109.0,7,2,0.778,40.8,86.0,47.4,6.9,20.4,33.7,20.6,25.4,80.8,11.0,36.6,47.6,21.7,12.9,8.9,4.2,18.2,11.6,36.3,85.9,42.3,8.0,26.7,30.0,16.8,21.1,79.5,10.7,32.0,42.7,20.3,14.6,7.8,4.7,4.2,18.7,97.4
14,4 Days Rest,1,48.0,90.0,0,1,0.0,32.0,91.0,35.2,4.0,21.0,19.0,22.0,29.0,75.9,14.0,32.0,46.0,22.0,14.0,15.0,11.0,26.0,-6.0,33.0,81.0,40.7,2.0,8.0,25.0,28.0,41.0,68.3,18.0,42.0,60.0,17.0,24.0,12.0,3.0,11.0,24.0,96.0
15,6+ Days Rest,1,48.0,105.0,1,0,1.0,36.0,92.0,39.1,11.0,25.0,44.0,22.0,30.0,73.3,18.0,37.0,55.0,25.0,12.0,5.0,1.0,21.0,6.0,38.0,76.0,50.0,8.0,23.0,34.8,15.0,24.0,62.5,3.0,33.0,36.0,22.0,12.0,6.0,6.0,1.0,25.0,99.0
