DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.4,9.8,44.5,100%,44.7,-0.2
3 Pointers,1.3,3.6,36.3,37.0%,35.4,0.9
2 Pointers,3.1,6.2,49.4,63.0%,49.2,0.2
Less Than 6 Ft,1.2,2.0,62.0,20.3%,61.5,0.5
Less Than 10 Ft,1.8,3.0,59.5,30.1%,56.0,3.4
Greater Than 15 Ft,2.2,5.9,37.2,59.6%,37.0,0.2
