DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.8,6.1,45.8,100%,44.3,1.5
3 Pointers,0.9,2.4,36.6,39.2%,35.2,1.4
2 Pointers,1.9,3.7,51.7,60.8%,49.3,2.4
Less Than 6 Ft,1.1,1.5,70.7,24.6%,60.8,9.9
Less Than 10 Ft,1.3,2.1,61.0,35.3%,55.6,5.4
Greater Than 15 Ft,1.3,3.5,36.4,58.4%,37.1,-0.7
