DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.8,4.8,36.8,100%,50.4,-13.5
3 Pointers,0.5,2.8,18.2,57.9%,32.6,-14.5
2 Pointers,1.3,2.0,62.5,42.1%,59.1,3.4
Less Than 6 Ft,1.0,1.3,80.0,26.3%,68.8,11.2
Less Than 10 Ft,1.0,1.3,80.0,26.3%,64.6,15.4
Greater Than 15 Ft,0.5,3.3,15.4,68.4%,37.3,-21.9
