DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.4,5.4,44.3,100%,44.5,-0.2
3 Pointers,0.6,2.1,28.0,39.5%,36.2,-8.2
2 Pointers,1.8,3.3,54.9,60.5%,49.3,5.6
Less Than 6 Ft,1.0,1.6,64.5,30.0%,59.3,5.2
Less Than 10 Ft,1.3,2.0,66.0,37.2%,54.6,11.4
Greater Than 15 Ft,0.9,3.0,31.0,56.1%,37.7,-6.7
