DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.9,6.4,44.7,100%,44.6,0.1
3 Pointers,1.1,2.5,42.3,39.7%,35.5,6.7
2 Pointers,1.8,3.9,46.3,60.3%,49.2,-2.9
Less Than 6 Ft,1.0,1.5,70.7,22.9%,61.5,9.2
Less Than 10 Ft,1.1,2.0,55.4,31.3%,55.0,0.3
Greater Than 15 Ft,1.5,3.8,39.6,59.2%,37.1,2.5
