,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,54,48.6,106.0,22,32,0.407,40.0,90.0,44.5,9.1,25.7,35.5,16.9,21.7,77.7,12.6,33.8,46.4,21.7,14.1,7.2,5.8,21.0,-3.0,39.9,88.2,45.2,9.7,27.7,34.9,19.5,25.0,78.1,11.5,33.3,44.8,22.4,13.0,7.6,4.6,5.8,18.6,109.0
1,Home,27,48.2,106.5,13,14,0.481,40.8,88.3,46.2,9.3,25.1,37.0,15.6,20.4,76.7,12.4,33.6,46.0,21.4,14.1,7.2,5.7,20.0,-0.9,39.6,87.5,45.2,10.0,28.6,35.0,18.3,23.5,77.8,11.8,32.1,43.9,21.7,12.9,7.7,4.6,5.7,18.1,107.4
2,Road,27,49.1,105.5,9,18,0.333,39.3,91.7,42.8,8.9,26.2,34.0,18.1,23.0,78.6,12.9,33.9,46.8,22.0,14.2,7.3,5.8,22.0,-5.1,40.3,89.0,45.3,9.3,26.9,34.7,20.7,26.5,78.3,11.2,34.6,45.8,23.2,13.1,7.5,4.7,5.8,19.2,110.7
3,Wins,22,48.2,109.1,22,0,1.0,41.6,89.1,46.7,9.6,25.6,37.4,16.2,21.0,77.1,12.5,35.9,48.4,23.7,13.7,7.1,6.5,20.2,7.5,37.2,86.9,42.9,7.8,25.9,30.2,19.3,24.5,78.8,10.8,31.4,42.2,20.1,12.8,7.1,4.8,6.5,17.7,101.5
4,Losses,32,48.9,103.9,0,32,0.0,38.9,90.6,42.9,8.8,25.7,34.1,17.3,22.1,78.1,12.8,32.3,45.0,20.3,14.4,7.3,5.3,21.5,-10.3,41.8,89.2,46.8,10.9,29.0,37.8,19.7,25.3,77.6,12.0,34.7,46.6,24.0,13.1,8.0,4.5,5.3,19.3,114.2
5,October,2,48.0,99.5,1,1,0.5,36.0,81.5,44.2,7.5,24.0,31.3,20.0,29.5,67.8,9.5,32.0,41.5,20.5,15.5,5.0,5.0,23.5,-11.0,41.0,90.0,45.6,11.0,30.0,36.7,17.5,22.5,77.8,11.0,34.5,45.5,25.0,13.5,7.5,3.5,5.0,26.0,110.5
6,November,16,48.3,103.9,8,8,0.5,40.3,90.3,44.6,9.1,25.3,36.0,14.3,17.8,80.4,12.2,33.1,45.3,22.3,13.4,7.8,5.6,21.5,-2.1,38.3,84.5,45.3,8.5,24.6,34.6,20.9,27.5,75.9,11.7,33.0,44.7,19.9,13.8,7.4,5.0,5.6,17.3,106.0
7,December,15,48.7,107.9,7,8,0.467,39.6,90.6,43.7,9.0,25.3,35.6,19.7,24.6,79.9,12.4,35.7,48.1,20.9,14.3,7.1,6.3,20.5,-2.5,39.9,90.7,44.0,10.8,30.9,35.0,19.7,24.9,79.1,11.7,34.4,46.1,23.7,12.5,7.9,4.7,6.3,19.3,110.4
8,January,17,49.2,107.2,5,12,0.294,40.8,90.2,45.2,9.6,26.4,36.3,16.0,20.5,78.2,13.5,33.2,46.8,21.9,14.8,6.6,5.6,20.6,-2.9,40.9,88.6,46.1,9.6,27.2,35.2,18.8,23.4,80.6,10.5,32.1,42.5,24.1,12.2,7.9,4.5,5.6,17.6,110.2
9,February,4,48.0,105.3,1,3,0.25,39.3,89.8,43.7,8.3,26.5,31.1,18.5,27.5,67.3,13.0,32.3,45.3,21.8,13.0,9.5,5.8,21.0,-5.0,41.8,91.5,45.6,9.8,29.5,33.1,17.0,23.3,73.1,14.5,35.5,50.0,19.5,14.3,6.0,4.0,5.8,22.8,110.3
10,Pre All-Star,54,48.6,106.0,22,32,0.407,40.0,90.0,44.5,9.1,25.7,35.5,16.9,21.7,77.7,12.6,33.8,46.4,21.7,14.1,7.2,5.8,21.0,-3.0,39.9,88.2,45.2,9.7,27.7,34.9,19.5,25.0,78.1,11.5,33.3,44.8,22.4,13.0,7.6,4.6,5.8,18.6,109.0
11,0 Days Rest,11,48.0,105.5,2,9,0.182,40.4,92.0,43.9,9.1,27.1,33.6,15.7,21.1,74.6,13.1,31.4,44.5,21.7,13.6,7.9,4.5,20.8,-7.2,40.0,85.7,46.7,12.0,30.5,39.4,20.7,26.1,79.4,11.2,34.3,45.5,23.2,14.6,7.6,4.5,4.5,18.8,112.7
12,1 Days Rest,32,48.8,106.7,15,17,0.469,40.2,90.1,44.6,9.0,25.0,35.8,17.4,21.6,80.3,13.1,33.9,47.0,21.9,14.0,7.0,6.1,21.0,-1.6,39.9,88.7,45.0,8.9,26.8,33.1,19.6,24.8,79.0,11.7,32.7,44.3,22.5,12.4,7.6,5.0,6.1,18.5,108.3
13,2 Days Rest,9,49.1,105.7,4,5,0.444,40.0,89.0,44.9,10.0,26.7,37.5,15.7,20.9,75.0,11.1,36.7,47.8,21.0,15.0,7.7,6.4,20.6,-1.2,39.7,89.3,44.4,9.3,27.1,34.4,18.2,25.0,72.9,11.4,34.2,45.7,20.8,12.7,7.7,3.8,6.4,17.4,106.9
14,3 Days Rest,1,48.0,111.0,1,0,1.0,40.0,76.0,52.6,6.0,21.0,28.6,25.0,39.0,64.1,6.0,35.0,41.0,24.0,13.0,4.0,4.0,25.0,7.0,37.0,86.0,43.0,9.0,25.0,36.0,21.0,26.0,80.8,11.0,29.0,40.0,19.0,12.0,3.0,2.0,4.0,30.0,104.0
15,4 Days Rest,1,48.0,88.0,0,1,0.0,32.0,87.0,36.8,9.0,27.0,33.3,15.0,20.0,75.0,13.0,29.0,42.0,17.0,18.0,6.0,6.0,22.0,-29.0,45.0,94.0,47.9,13.0,35.0,37.1,14.0,19.0,73.7,11.0,40.0,51.0,31.0,15.0,12.0,5.0,6.0,22.0,117.0
