,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,52,48.4,118.3,44,8,0.846,43.8,87.6,50.1,12.3,31.5,38.9,18.3,23.2,79.2,9.0,36.1,45.1,31.2,15.0,9.4,6.5,19.2,13.2,39.1,89.8,43.6,9.1,28.5,31.9,17.8,23.3,76.4,11.3,31.7,43.0,22.5,15.0,8.8,3.8,6.5,20.0,105.1
1,Home,26,48.6,122.3,23,3,0.885,45.8,88.1,52.0,13.3,31.2,42.6,17.3,22.4,77.2,9.1,36.8,45.9,33.0,14.7,8.9,7.2,18.2,17.5,39.2,90.6,43.3,8.7,28.5,30.6,17.5,22.9,76.5,11.5,30.7,42.2,22.8,14.5,8.9,3.5,7.2,20.3,104.7
2,Road,26,48.2,114.3,21,5,0.808,41.8,87.0,48.1,11.3,31.8,35.4,19.4,23.9,81.2,9.0,35.4,44.3,29.3,15.3,9.9,5.8,20.3,8.8,39.0,89.0,43.8,9.5,28.4,33.3,18.0,23.7,76.3,11.1,32.7,43.7,22.2,15.6,8.7,4.1,5.8,19.7,105.4
3,Wins,44,48.0,120.5,44,0,1.0,44.7,87.9,50.9,12.8,31.1,41.3,18.2,22.7,80.3,9.2,36.5,45.6,32.5,14.5,9.4,6.6,19.0,17.7,38.3,88.8,43.2,8.8,28.1,31.2,17.4,22.9,75.9,10.8,31.1,41.9,22.1,15.0,8.4,3.9,6.6,19.8,102.8
4,Losses,8,50.5,106.0,0,8,0.0,38.9,85.9,45.3,9.1,33.8,27.0,19.1,25.9,73.9,8.3,34.3,42.5,24.1,18.0,9.5,5.9,20.5,-11.4,43.3,95.0,45.5,10.9,30.6,35.5,20.0,25.4,78.8,14.3,34.6,48.9,24.3,15.1,11.3,3.4,5.9,21.1,117.4
5,October,3,48.0,109.3,2,1,0.667,39.7,86.3,45.9,8.0,30.0,26.7,22.0,26.3,83.5,8.0,34.3,42.3,27.7,15.3,8.3,4.3,21.3,-5.0,43.7,96.0,45.5,8.3,23.0,36.2,18.7,24.7,75.7,14.7,36.7,51.3,24.3,13.7,10.3,4.7,4.3,23.0,114.3
6,November,15,48.0,119.3,14,1,0.933,44.1,86.5,51.0,12.9,31.9,40.6,18.1,23.0,78.6,9.2,35.0,44.2,31.8,14.7,9.6,7.0,19.3,16.3,38.0,88.9,42.8,8.9,27.4,32.4,18.1,23.5,77.3,11.5,30.9,42.3,21.8,15.1,8.4,2.9,7.0,19.8,103.0
7,December,16,48.6,116.3,13,3,0.813,43.3,87.8,49.3,11.5,30.4,37.8,18.3,23.1,79.4,9.2,37.9,47.1,31.3,15.5,9.3,5.9,19.8,12.7,37.9,89.4,42.3,9.7,30.3,32.0,18.2,24.3,74.8,11.9,31.9,43.9,20.6,14.9,9.0,4.3,5.9,19.6,103.6
8,January,14,48.4,120.3,12,2,0.857,44.5,87.4,50.9,12.2,30.6,39.9,19.1,24.4,78.1,8.8,35.9,44.6,30.6,15.3,9.6,6.7,18.0,14.1,40.5,90.6,44.7,9.3,29.5,31.5,15.9,20.9,75.8,10.1,30.6,40.8,23.7,15.5,9.1,3.9,6.7,20.9,106.1
9,February,4,49.3,122.0,3,1,0.75,45.8,92.0,49.7,16.3,38.5,42.2,14.3,17.3,82.6,9.3,35.5,44.8,33.0,13.3,9.5,7.5,19.5,14.0,39.8,87.0,45.7,7.5,25.8,29.1,21.0,25.8,81.6,9.5,33.5,43.0,26.8,14.8,7.3,4.0,7.5,16.8,108.0
10,Pre All-Star,52,48.4,118.3,44,8,0.846,43.8,87.6,50.1,12.3,31.5,38.9,18.3,23.2,79.2,9.0,36.1,45.1,31.2,15.0,9.4,6.5,19.2,13.2,39.1,89.8,43.6,9.1,28.5,31.9,17.8,23.3,76.4,11.3,31.7,43.0,22.5,15.0,8.8,3.8,6.5,20.0,105.1
11,0 Days Rest,10,48.0,115.0,8,2,0.8,42.1,85.3,49.4,11.0,30.0,36.7,19.8,24.3,81.5,9.7,33.0,42.7,29.8,15.8,10.5,4.4,20.2,5.3,41.0,88.1,46.5,10.3,29.4,35.0,17.4,23.8,73.1,11.3,31.2,42.5,23.0,15.4,8.1,3.2,4.4,20.1,109.7
12,1 Days Rest,29,48.3,117.4,25,4,0.862,43.6,87.1,50.0,12.2,31.5,38.6,18.1,23.6,76.8,8.7,36.9,45.6,31.1,15.2,9.0,7.2,18.8,15.7,38.0,89.6,42.4,8.6,27.9,30.7,17.2,22.3,77.1,10.8,31.6,42.4,21.6,14.9,9.2,4.3,7.2,19.8,101.7
13,2 Days Rest,10,49.0,124.7,9,1,0.9,46.1,91.3,50.5,13.8,32.9,41.9,18.7,22.2,84.2,9.5,36.3,45.8,32.3,13.8,9.3,6.1,19.4,14.1,40.7,91.0,44.7,9.6,29.5,32.5,19.6,25.5,76.9,11.8,32.8,44.6,25.1,15.3,8.4,3.0,6.1,20.7,110.6
14,3 Days Rest,3,48.0,116.3,2,1,0.667,44.7,87.3,51.1,12.3,31.7,38.9,14.7,18.3,80.0,8.3,38.0,46.3,32.7,15.3,10.0,7.3,19.3,12.3,38.3,92.7,41.4,8.3,27.3,30.5,19.0,24.0,79.2,14.3,30.3,44.7,20.3,14.7,9.0,3.0,7.3,19.0,104.0
