,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - TOR @ MIN",L,240,109,42,79,53.2,11,28,39.3,14,20,70.0,10,26,36,19,6,3,13,22,2017-02-08 00:00:00,MIN,AWAY
1,"FEB 06, 2017 - TOR vs. LAC",W,240,118,41,84,48.8,10,24,41.7,26,29,89.7,11,36,47,20,6,1,9,23,2017-02-06 00:00:00,LAC,HOME
2,"FEB 05, 2017 - TOR @ BKN",W,240,103,40,87,46.0,5,19,26.3,18,20,90.0,8,37,45,21,8,4,11,18,2017-02-05 00:00:00,BKN,AWAY
3,"FEB 03, 2017 - TOR @ ORL",L,240,94,34,87,39.1,10,28,35.7,16,21,76.2,13,31,44,15,5,5,11,21,2017-02-03 00:00:00,ORL,AWAY
4,"FEB 01, 2017 - TOR @ BOS",L,240,104,41,78,52.6,8,31,25.8,14,25,56.0,8,33,41,17,6,5,15,29,2017-02-01 00:00:00,BOS,AWAY
5,"JAN 31, 2017 - TOR vs. NOP",W,265,108,43,94,45.7,10,31,32.3,12,15,80.0,13,41,54,19,5,6,14,19,2017-01-31 00:00:00,NOP,HOME
6,"JAN 29, 2017 - TOR vs. ORL",L,240,113,36,79,45.6,12,28,42.9,29,36,80.6,9,31,40,19,8,3,11,20,2017-01-29 00:00:00,ORL,HOME
7,"JAN 27, 2017 - TOR vs. MIL",W,240,102,37,84,44.0,10,25,40.0,18,23,78.3,12,35,47,20,9,10,14,19,2017-01-27 00:00:00,MIL,HOME
8,"JAN 25, 2017 - TOR @ MEM",L,240,99,39,92,42.4,10,34,29.4,11,19,57.9,13,32,45,16,6,4,8,22,2017-01-25 00:00:00,MEM,AWAY
9,"JAN 24, 2017 - TOR vs. SAS",L,240,106,38,84,45.2,6,25,24.0,24,28,85.7,10,35,45,10,9,8,13,25,2017-01-24 00:00:00,SAS,HOME
10,"JAN 22, 2017 - TOR vs. PHX",L,240,103,33,83,39.8,7,27,25.9,30,35,85.7,7,28,35,19,9,8,9,20,2017-01-22 00:00:00,PHX,HOME
