,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.3,105.0,24,29,0.453,37.7,85.9,43.9,9.7,27.5,35.2,19.9,24.6,80.6,9.1,36.0,45.2,23.4,12.1,6.5,5.0,17.0,0.6,39.4,87.8,44.8,11.2,31.2,35.7,14.5,18.7,78.0,9.1,35.5,44.6,23.8,12.7,7.0,6.0,5.0,20.2,104.4
1,Home,27,48.2,105.4,16,11,0.593,37.6,85.1,44.2,9.6,27.1,35.2,20.7,26.3,78.6,9.5,36.1,45.6,23.9,11.8,6.6,5.7,15.9,3.5,38.8,88.1,44.0,10.5,30.5,34.3,13.8,17.3,79.7,8.6,35.2,43.9,23.0,12.7,6.9,6.1,5.7,20.9,101.9
2,Road,26,48.4,104.5,8,18,0.308,37.8,86.7,43.6,9.8,27.9,35.1,19.0,22.9,83.1,8.7,36.0,44.7,23.0,12.3,6.4,4.3,18.1,-2.5,39.9,87.5,45.6,11.8,32.0,37.0,15.3,20.1,76.4,9.7,35.7,45.4,24.6,12.6,7.0,6.0,4.3,19.5,107.0
3,Wins,24,48.0,107.1,24,0,1.0,38.7,85.2,45.4,8.9,24.9,35.8,20.8,26.4,79.0,8.9,38.3,47.2,23.6,11.4,7.1,5.6,15.7,11.7,36.8,88.9,41.4,9.8,31.4,31.3,12.0,15.9,75.4,9.5,35.1,44.6,22.7,13.7,6.3,5.4,5.6,20.8,95.4
4,Losses,29,48.5,103.2,0,29,0.0,36.9,86.5,42.7,10.3,29.7,34.7,19.1,23.2,82.2,9.3,34.2,43.5,23.2,12.7,6.0,4.6,18.0,-8.6,41.5,87.0,47.7,12.2,31.1,39.4,16.7,20.9,79.6,8.9,35.8,44.6,24.7,11.8,7.5,6.6,4.6,19.7,111.9
5,October,3,48.0,100.7,2,1,0.667,35.7,86.7,41.2,7.7,25.7,29.9,21.7,27.0,80.2,10.0,36.0,46.0,23.0,9.0,7.7,8.3,19.7,3.7,36.7,86.3,42.5,10.7,27.0,39.5,13.0,19.0,68.4,8.3,38.3,46.7,22.3,13.7,3.3,5.0,8.3,23.7,97.0
6,November,15,48.7,105.6,8,7,0.533,37.9,85.4,44.3,10.7,29.5,36.3,19.1,26.2,73.0,8.4,36.7,45.1,24.2,12.3,6.6,4.6,16.3,1.6,39.7,89.9,44.2,10.7,31.6,34.0,13.8,17.5,78.7,9.6,36.1,45.7,23.7,13.1,7.8,5.6,4.6,21.4,104.0
7,December,16,48.3,105.0,9,7,0.563,38.5,86.4,44.5,8.7,25.1,34.7,19.3,23.9,80.7,10.3,36.1,46.3,23.0,12.0,6.4,5.1,16.3,2.8,39.3,86.7,45.3,10.6,29.6,35.9,13.0,17.3,75.1,8.6,34.2,42.8,24.2,12.0,6.3,5.9,5.1,19.1,102.3
8,January,15,48.0,105.5,4,11,0.267,37.1,84.7,43.8,10.2,28.1,36.3,21.1,24.1,87.3,8.8,35.0,43.8,22.9,12.5,6.3,5.0,17.8,-1.3,39.2,87.5,44.8,11.3,31.4,35.9,17.1,20.9,82.1,9.7,34.9,44.6,23.5,12.1,7.5,6.4,5.0,19.7,106.8
9,February,4,48.0,103.8,1,3,0.25,37.8,89.3,42.3,9.3,29.0,31.9,19.0,21.8,87.4,7.8,37.5,45.3,24.5,12.3,6.3,4.3,17.0,-7.5,40.8,87.3,46.7,14.8,39.3,37.6,15.0,19.8,75.9,8.0,38.0,46.0,24.8,14.8,7.5,7.8,4.3,19.5,111.3
