,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 09, 2017 - CHA vs. HOU",L,240,95,37,85,43.5,8,26,30.8,13,14,92.9,10,37,47,26,8,4,21,17,2017-02-09 00:00:00,HOU,HOME
1,"FEB 07, 2017 - CHA vs. BKN",W,240,111,40,102,39.2,7,26,26.9,24,29,82.8,12,39,51,19,6,7,7,17,2017-02-07 00:00:00,BKN,HOME
2,"FEB 04, 2017 - CHA @ UTA",L,240,98,35,82,42.7,13,33,39.4,15,18,83.3,3,35,38,20,7,3,9,20,2017-02-04 00:00:00,UTA,AWAY
3,"FEB 01, 2017 - CHA @ GSW",L,240,111,39,88,44.3,9,31,29.0,24,26,92.3,6,39,45,33,4,3,10,14,2017-02-01 00:00:00,GSW,AWAY
4,"JAN 31, 2017 - CHA @ POR",L,240,98,33,83,39.8,11,31,35.5,21,25,84.0,3,39,42,20,3,6,9,13,2017-01-31 00:00:00,POR,AWAY
5,"JAN 28, 2017 - CHA vs. SAC",L,240,106,36,75,48.0,12,37,32.4,22,24,91.7,7,27,34,24,4,7,11,25,2017-01-28 00:00:00,SAC,HOME
6,"JAN 27, 2017 - CHA @ NYK",L,240,107,40,90,44.4,13,37,35.1,14,15,93.3,9,38,47,18,5,4,13,16,2017-01-27 00:00:00,NYK,AWAY
7,"JAN 25, 2017 - CHA vs. GSW",L,240,103,38,92,41.3,7,23,30.4,20,21,95.2,12,31,43,26,6,6,14,18,2017-01-25 00:00:00,GSW,HOME
8,"JAN 23, 2017 - CHA vs. WAS",L,240,99,35,90,38.9,8,32,25.0,21,25,84.0,12,31,43,24,7,5,8,19,2017-01-23 00:00:00,WAS,HOME
9,"JAN 21, 2017 - CHA vs. BKN",W,240,112,39,82,47.6,14,30,46.7,20,22,90.9,6,40,46,26,7,4,13,18,2017-01-21 00:00:00,BKN,HOME
10,"JAN 20, 2017 - CHA vs. TOR",W,240,113,40,80,50.0,12,25,48.0,21,25,84.0,11,40,51,24,9,4,14,13,2017-01-20 00:00:00,TOR,HOME
11,"JAN 18, 2017 - CHA vs. POR",W,240,107,41,87,47.1,11,26,42.3,14,17,82.4,8,43,51,28,11,7,12,13,2017-01-18 00:00:00,POR,HOME
12,"JAN 16, 2017 - CHA @ BOS",L,240,98,38,86,44.2,8,25,32.0,14,17,82.4,10,32,42,25,4,4,11,15,2017-01-16 00:00:00,BOS,AWAY
13,"JAN 13, 2017 - CHA @ PHI",L,240,93,28,85,32.9,6,23,26.1,31,32,96.9,16,25,41,11,12,2,19,19,2017-01-13 00:00:00,PHI,AWAY
14,"JAN 10, 2017 - CHA @ HOU",L,240,114,44,92,47.8,19,43,44.2,7,9,77.8,5,38,43,30,3,4,11,21,2017-01-10 00:00:00,HOU,AWAY
15,"JAN 07, 2017 - CHA @ SAS",L,240,85,30,75,40.0,4,21,19.0,21,25,84.0,8,40,48,18,5,4,15,14,2017-01-07 00:00:00,SAS,AWAY
16,"JAN 05, 2017 - CHA @ DET",L,240,114,37,91,40.7,10,26,38.5,30,34,88.2,8,41,49,20,4,5,5,23,2017-01-05 00:00:00,DET,AWAY
17,"JAN 04, 2017 - CHA vs. OKC",W,240,123,37,80,46.3,9,24,37.5,40,49,81.6,10,33,43,25,8,10,11,21,2017-01-04 00:00:00,OKC,HOME
18,"JAN 02, 2017 - CHA @ CHI",L,240,111,41,83,49.4,9,19,47.4,20,22,90.9,7,27,34,24,7,3,14,19,2017-01-02 00:00:00,CHI,AWAY
19,"DEC 31, 2016 - CHA vs. CLE",L,240,109,40,78,51.3,9,24,37.5,20,23,87.0,10,29,39,24,3,7,11,19,2016-12-31 00:00:00,CLE,HOME
20,"DEC 29, 2016 - CHA vs. MIA",W,240,91,36,93,38.7,5,26,19.2,14,18,77.8,11,43,54,18,9,8,8,11,2016-12-29 00:00:00,MIA,HOME
21,"DEC 28, 2016 - CHA @ ORL",W,240,120,46,84,54.8,10,24,41.7,18,19,94.7,10,36,46,25,7,3,13,13,2016-12-28 00:00:00,ORL,AWAY
22,"DEC 26, 2016 - CHA @ BKN",L,240,118,44,94,46.8,8,26,30.8,22,25,88.0,12,32,44,23,11,3,11,24,2016-12-26 00:00:00,BKN,AWAY
23,"DEC 23, 2016 - CHA vs. CHI",W,240,103,37,84,44.0,5,18,27.8,24,28,85.7,12,36,48,25,6,13,10,8,2016-12-23 00:00:00,CHI,HOME
24,"DEC 20, 2016 - CHA vs. LAL",W,240,117,43,94,45.7,11,25,44.0,20,24,83.3,16,28,44,30,5,2,10,13,2016-12-20 00:00:00,LAL,HOME
25,"DEC 17, 2016 - CHA @ ATL",W,240,107,43,88,48.9,12,27,44.4,9,13,69.2,7,36,43,26,8,3,12,17,2016-12-17 00:00:00,ATL,AWAY
26,"DEC 16, 2016 - CHA @ BOS",L,240,88,32,97,33.0,8,30,26.7,16,19,84.2,16,37,53,21,10,4,12,21,2016-12-16 00:00:00,BOS,AWAY
27,"DEC 14, 2016 - CHA @ WAS",L,240,106,38,74,51.4,14,33,42.4,16,21,76.2,5,28,33,25,7,8,18,18,2016-12-14 00:00:00,WAS,AWAY
28,"DEC 12, 2016 - CHA @ IND",L,240,94,28,84,33.3,10,26,38.5,28,32,87.5,9,37,46,16,8,4,13,15,2016-12-12 00:00:00,IND,AWAY
29,"DEC 10, 2016 - CHA @ CLE",L,240,105,39,86,45.3,10,27,37.0,17,24,70.8,12,27,39,24,5,0,14,24,2016-12-10 00:00:00,CLE,AWAY
30,"DEC 09, 2016 - CHA vs. ORL",W,240,109,41,85,48.2,9,22,40.9,18,23,78.3,13,46,59,23,4,5,12,13,2016-12-09 00:00:00,ORL,HOME
31,"DEC 07, 2016 - CHA vs. DET",W,240,87,30,88,34.1,6,21,28.6,21,29,72.4,5,46,51,13,7,2,5,11,2016-12-07 00:00:00,DET,HOME
32,"DEC 05, 2016 - CHA @ DAL",W,240,109,40,79,50.6,3,18,16.7,26,28,92.9,9,44,53,21,2,5,12,19,2016-12-05 00:00:00,DAL,AWAY
33,"DEC 03, 2016 - CHA vs. MIN",L,265,120,44,101,43.6,14,36,38.9,18,26,69.2,13,37,50,30,6,8,14,16,2016-12-03 00:00:00,MIN,HOME
34,"DEC 01, 2016 - CHA vs. DAL",W,240,97,35,74,47.3,5,18,27.8,22,31,71.0,4,35,39,24,5,6,10,18,2016-12-01 00:00:00,DAL,HOME
35,"NOV 29, 2016 - CHA vs. DET",L,240,89,31,78,39.7,9,27,33.3,18,21,85.7,5,35,40,21,7,5,13,16,2016-11-29 00:00:00,DET,HOME
36,"NOV 28, 2016 - CHA @ MEM",W,240,104,36,82,43.9,9,26,34.6,23,31,74.2,9,38,47,24,3,4,13,14,2016-11-28 00:00:00,MEM,AWAY
37,"NOV 26, 2016 - CHA vs. NYK",W,240,107,35,80,43.8,8,22,36.4,29,42,69.0,10,42,52,16,3,9,10,14,2016-11-26 00:00:00,NYK,HOME
38,"NOV 25, 2016 - CHA @ NYK",L,265,111,43,93,46.2,8,29,27.6,17,27,63.0,10,36,46,25,6,4,13,14,2016-11-25 00:00:00,NYK,AWAY
39,"NOV 23, 2016 - CHA vs. SAS",L,240,114,45,89,50.6,11,20,55.0,13,18,72.2,12,32,44,30,3,3,15,16,2016-11-23 00:00:00,SAS,HOME
