DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.1,8.3,49.0,100%,45.4,3.6
3 Pointers,0.9,2.7,32.8,32.2%,36.7,-3.9
2 Pointers,3.2,5.6,56.7,67.8%,49.8,6.9
Less Than 6 Ft,1.6,2.2,74.0,26.1%,61.3,12.7
Less Than 10 Ft,1.9,2.9,65.5,34.9%,55.8,9.7
Greater Than 15 Ft,1.7,4.6,37.6,55.5%,38.4,-0.8
