DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,5.6,11.2,50.3,100%,44.8,5.5
3 Pointers,1.6,3.8,42.3,34.1%,36.8,5.5
2 Pointers,4.0,7.3,54.4,65.9%,48.9,5.5
Less Than 6 Ft,2.1,3.3,65.7,29.2%,59.2,6.5
Less Than 10 Ft,2.6,4.2,62.1,37.6%,54.3,7.9
Greater Than 15 Ft,2.5,5.9,42.5,52.5%,38.4,4.1
