DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.0,8.0,38.2,100%,45.7,-7.5
3 Pointers,0.6,1.9,34.5,23.4%,35.0,-0.5
2 Pointers,2.4,6.1,39.3,76.6%,49.6,-10.3
Less Than 6 Ft,1.4,2.8,50.8,34.5%,59.7,-8.9
Less Than 10 Ft,1.8,4.2,42.0,52.4%,55.1,-13.0
Greater Than 15 Ft,1.1,3.2,34.0,40.1%,37.2,-3.1
