,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - WAS @ BKN",W,265,114,40,97,41.2,9,25,36.0,25,33,75.8,17,37,54,21,9,5,12,26,2017-02-08 00:00:00,BKN,AWAY
1,"FEB 06, 2017 - WAS vs. CLE",L,265,135,50,99,50.5,12,29,41.4,23,26,88.5,11,32,43,29,9,5,12,25,2017-02-06 00:00:00,CLE,HOME
2,"FEB 04, 2017 - WAS vs. NOP",W,240,105,38,83,45.8,10,31,32.3,19,22,86.4,7,39,46,20,10,6,12,19,2017-02-04 00:00:00,NOP,HOME
3,"FEB 02, 2017 - WAS vs. LAL",W,240,116,44,96,45.8,12,33,36.4,16,21,76.2,12,33,45,27,11,6,10,19,2017-02-02 00:00:00,LAL,HOME
4,"JAN 31, 2017 - WAS vs. NYK",W,240,117,49,88,55.7,7,22,31.8,12,15,80.0,9,37,46,27,4,4,12,25,2017-01-31 00:00:00,NYK,HOME
5,"JAN 29, 2017 - WAS @ NOP",W,240,107,45,89,50.6,10,21,47.6,7,10,70.0,10,35,45,28,9,3,10,17,2017-01-29 00:00:00,NOP,AWAY
6,"JAN 27, 2017 - WAS @ ATL",W,240,112,43,89,48.3,13,31,41.9,13,19,68.4,13,39,52,26,12,10,18,24,2017-01-27 00:00:00,ATL,AWAY
7,"JAN 24, 2017 - WAS vs. BOS",W,240,123,48,84,57.1,9,20,45.0,18,21,85.7,8,35,43,21,7,4,15,18,2017-01-24 00:00:00,BOS,HOME
8,"JAN 23, 2017 - WAS @ CHA",W,240,109,43,80,53.8,10,25,40.0,13,17,76.5,5,42,47,22,5,3,14,23,2017-01-23 00:00:00,CHA,AWAY
9,"JAN 21, 2017 - WAS @ DET",L,240,112,39,91,42.9,8,26,30.8,26,33,78.8,13,34,47,23,12,3,11,22,2017-01-21 00:00:00,DET,AWAY
10,"JAN 19, 2017 - WAS @ NYK",W,240,113,44,88,50.0,13,32,40.6,12,14,85.7,10,30,40,29,7,5,15,19,2017-01-19 00:00:00,NYK,AWAY
11,"JAN 18, 2017 - WAS vs. MEM",W,240,104,36,80,45.0,8,29,27.6,24,26,92.3,12,33,45,27,7,3,11,25,2017-01-18 00:00:00,MEM,HOME
12,"JAN 16, 2017 - WAS vs. POR",W,240,120,42,86,48.8,13,23,56.5,23,25,92.0,12,39,51,26,10,5,12,18,2017-01-16 00:00:00,POR,HOME
13,"JAN 14, 2017 - WAS vs. PHI",W,240,109,44,91,48.4,8,17,47.1,13,18,72.2,12,38,50,18,9,2,11,18,2017-01-14 00:00:00,PHI,HOME
14,"JAN 11, 2017 - WAS @ BOS",L,240,108,45,105,42.9,10,26,38.5,8,12,66.7,16,28,44,28,10,3,7,13,2017-01-11 00:00:00,BOS,AWAY
15,"JAN 10, 2017 - WAS vs. CHI",W,240,101,42,83,50.6,11,22,50.0,6,9,66.7,7,35,42,24,8,6,21,24,2017-01-10 00:00:00,CHI,HOME
16,"JAN 08, 2017 - WAS @ MIL",W,240,107,41,84,48.8,10,32,31.3,15,18,83.3,13,36,49,23,10,4,19,22,2017-01-08 00:00:00,MIL,AWAY
17,"JAN 06, 2017 - WAS vs. MIN",W,240,112,46,79,58.2,12,22,54.5,8,9,88.9,5,28,33,31,3,7,13,18,2017-01-06 00:00:00,MIN,HOME
18,"JAN 03, 2017 - WAS @ DAL",L,240,105,41,92,44.6,11,30,36.7,12,14,85.7,5,33,38,27,6,7,9,19,2017-01-03 00:00:00,DAL,AWAY
19,"JAN 02, 2017 - WAS @ HOU",L,240,91,38,87,43.7,6,26,23.1,9,12,75.0,7,38,45,23,9,2,17,21,2017-01-02 00:00:00,HOU,AWAY
20,"DEC 30, 2016 - WAS vs. BKN",W,240,118,47,83,56.6,11,22,50.0,13,14,92.9,8,36,44,28,12,7,19,21,2016-12-30 00:00:00,BKN,HOME
21,"DEC 28, 2016 - WAS vs. IND",W,240,111,38,78,48.7,8,22,36.4,27,37,73.0,15,39,54,21,8,1,18,27,2016-12-28 00:00:00,IND,HOME
