,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - SAC vs. BOS",W,240,108,42,84,50.0,10,25,40.0,14,15,93.3,4,36,40,24,11,1,14,18,2017-02-08 00:00:00,BOS,HOME
1,"FEB 06, 2017 - SAC vs. CHI",L,240,107,41,79,51.9,11,28,39.3,14,16,87.5,9,31,40,27,4,5,15,25,2017-02-06 00:00:00,CHI,HOME
2,"FEB 04, 2017 - SAC vs. GSW",W,265,109,43,88,48.9,7,23,30.4,16,19,84.2,8,38,46,25,11,4,16,18,2017-02-04 00:00:00,GSW,HOME
3,"FEB 03, 2017 - SAC vs. PHX",L,240,103,38,85,44.7,10,27,37.0,17,22,77.3,6,37,43,23,5,4,13,25,2017-02-03 00:00:00,PHX,HOME
4,"JAN 31, 2017 - SAC @ HOU",L,240,83,30,86,34.9,8,29,27.6,15,26,57.7,10,35,45,22,9,7,11,17,2017-01-31 00:00:00,HOU,AWAY
5,"JAN 30, 2017 - SAC @ PHI",L,240,119,41,74,55.4,13,29,44.8,24,29,82.8,9,24,33,31,7,3,20,28,2017-01-30 00:00:00,PHI,AWAY
6,"JAN 28, 2017 - SAC @ CHA",W,240,109,41,79,51.9,11,27,40.7,16,26,61.5,8,30,38,27,6,5,9,23,2017-01-28 00:00:00,CHA,AWAY
7,"JAN 27, 2017 - SAC @ IND",L,265,111,35,70,50.0,13,25,52.0,28,36,77.8,10,33,43,22,7,1,19,30,2017-01-27 00:00:00,IND,AWAY
8,"JAN 25, 2017 - SAC @ CLE",W,265,116,43,95,45.3,11,31,35.5,19,22,86.4,11,36,47,29,13,3,11,28,2017-01-25 00:00:00,CLE,AWAY
9,"JAN 23, 2017 - SAC @ DET",W,240,109,40,82,48.8,9,21,42.9,20,26,76.9,10,33,43,25,10,3,14,15,2017-01-23 00:00:00,DET,AWAY
10,"JAN 21, 2017 - SAC @ CHI",L,240,99,37,84,44.0,9,26,34.6,16,21,76.2,9,31,40,20,7,5,9,23,2017-01-21 00:00:00,CHI,AWAY
11,"JAN 20, 2017 - SAC @ MEM",L,240,91,31,76,40.8,6,29,20.7,23,32,71.9,5,30,35,18,9,6,10,21,2017-01-20 00:00:00,MEM,AWAY
12,"JAN 18, 2017 - SAC vs. IND",L,240,100,35,72,48.6,9,21,42.9,21,27,77.8,10,26,36,28,9,5,21,22,2017-01-18 00:00:00,IND,HOME
13,"JAN 15, 2017 - SAC vs. OKC",L,240,118,37,81,45.7,9,25,36.0,35,40,87.5,14,30,44,24,13,6,22,29,2017-01-15 00:00:00,OKC,HOME
