,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.2,101.7,25,28,0.472,39.9,87.4,45.7,7.7,22.8,33.8,14.1,19.1,73.7,10.3,34.3,44.6,21.4,12.3,7.2,3.9,18.1,-0.2,38.0,82.8,45.8,8.8,24.5,36.1,17.1,22.0,77.9,8.3,34.0,42.3,23.0,12.8,7.0,4.3,3.9,17.3,101.9
1,Home,26,48.0,104.4,16,10,0.615,41.0,88.7,46.3,8.2,22.8,36.0,14.1,19.8,71.4,11.2,35.6,46.7,23.6,12.4,7.6,3.7,17.9,5.4,36.6,82.4,44.4,7.6,23.5,32.3,18.2,23.1,78.8,8.6,33.3,41.9,22.3,13.4,6.8,4.5,3.7,17.7,99.0
2,Road,27,48.4,99.1,9,18,0.333,38.9,86.2,45.1,7.3,22.9,31.8,14.1,18.5,76.0,9.5,33.0,42.5,19.2,12.1,6.8,4.0,18.3,-5.5,39.3,83.2,47.2,10.0,25.4,39.5,16.1,20.9,76.8,8.0,34.6,42.7,23.8,12.3,7.3,4.0,4.0,16.8,104.6
3,Wins,25,48.4,110.3,25,0,1.0,43.9,90.2,48.6,8.8,22.4,39.2,13.8,18.7,73.7,11.2,37.4,48.6,23.8,12.0,7.5,4.2,18.4,14.6,35.4,84.4,42.0,7.5,24.8,30.4,17.4,22.2,78.2,8.8,31.7,40.5,20.9,13.2,6.2,4.1,4.2,18.1,95.7
4,Losses,28,48.0,94.0,0,28,0.0,36.4,84.9,42.9,6.8,23.2,29.2,14.4,19.5,73.6,9.5,31.4,41.0,19.2,12.5,6.9,3.6,17.9,-13.4,40.3,81.4,49.4,10.0,24.2,41.4,16.9,21.8,77.5,7.9,36.1,43.9,24.9,12.5,7.7,4.4,3.6,16.5,107.4
5,October,3,48.0,99.0,2,1,0.667,40.7,89.0,45.7,5.3,20.3,26.2,12.3,16.0,77.1,11.0,39.3,50.3,22.3,14.0,8.0,2.7,16.3,7.7,36.0,89.3,40.3,5.0,20.3,24.6,14.3,18.3,78.2,12.7,32.3,45.0,19.7,11.0,8.7,2.3,2.7,17.0,91.3
6,November,17,48.0,99.5,8,9,0.471,38.9,86.6,44.9,6.8,19.7,34.6,14.8,19.2,77.0,9.5,33.5,43.0,20.5,11.1,6.8,4.3,17.5,0.9,36.2,82.6,43.8,9.4,26.1,35.8,16.8,21.4,78.3,9.4,34.7,44.1,21.9,13.1,5.9,5.3,4.3,17.1,98.6
7,December,15,48.0,97.3,5,10,0.333,37.5,84.2,44.5,8.9,25.7,34.5,13.5,19.1,71.0,9.9,33.5,43.4,21.5,12.8,7.1,3.1,17.9,-2.9,38.1,80.4,47.4,7.9,22.3,35.3,16.1,20.9,77.1,6.6,34.5,41.1,24.2,12.4,8.0,3.5,3.1,17.5,100.3
8,January,13,48.8,106.9,6,7,0.462,42.4,90.2,47.0,8.3,24.7,33.6,13.8,19.5,70.9,10.8,34.0,44.8,20.8,12.2,7.5,4.4,21.0,-3.5,39.5,82.8,47.7,11.4,26.5,43.0,20.0,25.4,78.8,8.0,33.7,41.7,24.5,13.2,6.8,4.5,4.4,17.1,110.5
9,February,5,48.0,110.4,4,1,0.8,44.0,91.4,48.1,7.2,21.4,33.6,15.2,20.0,76.0,12.8,36.8,49.6,24.8,14.0,7.4,4.0,14.6,8.6,40.4,86.6,46.7,5.6,22.6,24.8,15.4,20.4,75.5,7.8,31.8,39.6,21.6,13.6,7.4,3.6,4.0,17.8,101.8
10,Pre All-Star,53,48.2,101.7,25,28,0.472,39.9,87.4,45.7,7.7,22.8,33.8,14.1,19.1,73.7,10.3,34.3,44.6,21.4,12.3,7.2,3.9,18.1,-0.2,38.0,82.8,45.8,8.8,24.5,36.1,17.1,22.0,77.9,8.3,34.0,42.3,23.0,12.8,7.0,4.3,3.9,17.3,101.9
11,0 Days Rest,9,48.0,92.9,2,7,0.222,36.9,84.1,43.9,6.2,21.4,29.0,12.9,17.2,74.8,8.8,34.0,42.8,20.1,11.7,6.0,4.3,16.8,-9.9,38.8,84.2,46.0,10.2,27.0,37.9,15.0,20.1,74.6,8.3,36.0,44.3,21.1,10.4,7.0,3.9,4.3,15.7,102.8
12,1 Days Rest,35,48.0,102.5,16,19,0.457,40.0,88.0,45.5,7.9,23.2,34.0,14.6,19.8,73.9,10.6,34.0,44.6,21.9,12.0,7.1,3.9,17.9,0.6,38.2,82.0,46.6,8.4,23.3,36.2,17.2,22.0,78.1,7.9,34.0,41.9,24.0,13.0,6.9,4.6,3.9,17.2,101.9
13,2 Days Rest,7,49.4,110.3,7,0,1.0,43.4,88.9,48.9,9.9,24.4,40.4,13.6,18.9,72.0,10.7,37.3,48.0,22.4,14.3,8.7,3.7,20.7,13.0,34.9,85.1,40.9,9.1,27.3,33.5,18.4,23.1,79.6,9.3,31.6,40.9,22.1,15.1,7.7,3.6,3.7,18.6,97.3
