DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.0,4.4,45.8,100%,43.1,2.7
3 Pointers,0.4,1.7,21.6,38.5%,35.3,-13.7
2 Pointers,1.6,2.7,61.0,61.5%,47.4,13.6
Less Than 6 Ft,0.9,0.9,95.2,21.9%,59.6,35.6
Less Than 10 Ft,1.1,1.3,86.2,30.2%,54.9,31.3
Greater Than 15 Ft,0.6,2.5,23.6,57.3%,36.3,-12.7
