,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - MIL vs. MIA",L,240,88,33,71,46.5,6,15,40.0,16,28,57.1,5,29,34,18,10,4,12,18,2017-02-08 00:00:00,MIA,HOME
1,"FEB 04, 2017 - MIL @ PHX",W,240,137,52,82,63.4,7,17,41.2,26,35,74.3,9,35,44,29,9,11,16,25,2017-02-04 00:00:00,PHX,AWAY
2,"FEB 03, 2017 - MIL @ DEN",L,240,117,45,83,54.2,9,24,37.5,18,23,78.3,6,32,38,26,9,13,18,26,2017-02-03 00:00:00,DEN,AWAY
3,"FEB 01, 2017 - MIL @ UTA",L,240,88,32,73,43.8,9,23,39.1,15,25,60.0,9,30,39,19,10,7,17,21,2017-02-01 00:00:00,UTA,AWAY
4,"JAN 28, 2017 - MIL vs. BOS",L,265,108,37,87,42.5,9,21,42.9,25,32,78.1,9,38,47,23,6,6,15,25,2017-01-28 00:00:00,BOS,HOME
5,"JAN 27, 2017 - MIL @ TOR",L,240,86,31,80,38.8,7,23,30.4,17,24,70.8,12,31,43,19,6,7,19,22,2017-01-27 00:00:00,TOR,AWAY
6,"JAN 25, 2017 - MIL vs. PHI",L,240,109,42,91,46.2,7,28,25.0,18,23,78.3,15,22,37,26,11,4,19,22,2017-01-25 00:00:00,PHI,HOME
7,"JAN 23, 2017 - MIL vs. HOU",W,240,127,47,80,58.8,11,23,47.8,22,27,81.5,7,30,37,31,17,6,19,20,2017-01-23 00:00:00,HOU,HOME
8,"JAN 21, 2017 - MIL @ MIA",L,240,97,33,79,41.8,6,18,33.3,25,32,78.1,12,29,41,17,6,2,11,18,2017-01-21 00:00:00,MIA,AWAY
9,"JAN 20, 2017 - MIL @ ORL",L,240,96,34,83,41.0,10,25,40.0,18,26,69.2,10,30,40,21,6,3,12,25,2017-01-20 00:00:00,ORL,AWAY
10,"JAN 18, 2017 - MIL @ HOU",L,240,92,37,93,39.8,7,28,25.0,11,14,78.6,15,35,50,26,8,8,18,14,2017-01-18 00:00:00,HOU,AWAY
11,"JAN 16, 2017 - MIL vs. PHI",L,240,104,42,89,47.2,5,14,35.7,15,22,68.2,10,28,38,23,8,5,12,23,2017-01-16 00:00:00,PHI,HOME
12,"JAN 15, 2017 - MIL @ ATL",L,240,98,39,79,49.4,6,19,31.6,14,18,77.8,13,23,36,25,11,4,16,25,2017-01-15 00:00:00,ATL,AWAY
13,"JAN 13, 2017 - MIL vs. MIA",W,240,116,40,80,50.0,9,15,60.0,27,31,87.1,13,33,46,28,8,6,11,18,2017-01-13 00:00:00,MIA,HOME
14,"JAN 10, 2017 - MIL @ SAS",W,240,109,44,84,52.4,10,19,52.6,11,13,84.6,11,27,38,32,8,6,12,18,2017-01-10 00:00:00,SAS,AWAY
15,"JAN 08, 2017 - MIL vs. WAS",L,240,101,37,80,46.3,9,23,39.1,18,20,90.0,5,27,32,25,14,3,16,20,2017-01-08 00:00:00,WAS,HOME
16,"JAN 06, 2017 - MIL vs. NYK",L,240,111,39,78,50.0,12,22,54.5,21,28,75.0,6,29,35,24,9,11,14,19,2017-01-06 00:00:00,NYK,HOME
17,"JAN 04, 2017 - MIL @ NYK",W,240,105,37,78,47.4,9,28,32.1,22,31,71.0,7,35,42,20,7,5,13,15,2017-01-04 00:00:00,NYK,AWAY
18,"JAN 02, 2017 - MIL vs. OKC",W,240,98,38,79,48.1,7,19,36.8,15,24,62.5,7,32,39,21,4,4,10,17,2017-01-02 00:00:00,OKC,HOME
19,"DEC 31, 2016 - MIL @ CHI",W,240,116,43,76,56.6,9,15,60.0,21,27,77.8,8,34,42,29,7,8,12,19,2016-12-31 00:00:00,CHI,AWAY
20,"DEC 30, 2016 - MIL @ MIN",L,240,99,40,74,54.1,8,18,44.4,11,17,64.7,7,22,29,22,4,4,14,19,2016-12-30 00:00:00,MIN,AWAY
21,"DEC 28, 2016 - MIL @ DET",W,240,119,48,84,57.1,11,22,50.0,12,16,75.0,3,35,38,36,8,5,7,14,2016-12-28 00:00:00,DET,AWAY
22,"DEC 26, 2016 - MIL @ WAS",L,240,102,40,87,46.0,6,20,30.0,16,23,69.6,12,30,42,27,8,2,13,19,2016-12-26 00:00:00,WAS,AWAY
23,"DEC 23, 2016 - MIL vs. WAS",W,240,123,45,80,56.3,9,25,36.0,24,27,88.9,8,33,41,29,8,6,11,16,2016-12-23 00:00:00,WAS,HOME
24,"DEC 21, 2016 - MIL @ CLE",L,240,102,36,77,46.8,9,22,40.9,21,29,72.4,6,33,39,24,7,8,8,21,2016-12-21 00:00:00,CLE,AWAY
25,"DEC 20, 2016 - MIL vs. CLE",L,265,108,40,87,46.0,7,27,25.9,21,29,72.4,11,40,51,22,6,6,14,21,2016-12-20 00:00:00,CLE,HOME
26,"DEC 16, 2016 - MIL @ CHI",W,240,95,38,82,46.3,10,25,40.0,9,13,69.2,11,42,53,26,7,4,11,14,2016-12-16 00:00:00,CHI,AWAY
27,"DEC 15, 2016 - MIL vs. CHI",W,240,108,45,95,47.4,11,20,55.0,7,13,53.8,13,29,42,32,8,5,8,20,2016-12-15 00:00:00,CHI,HOME
28,"DEC 12, 2016 - MIL @ TOR",L,240,100,42,89,47.2,4,24,16.7,12,17,70.6,12,25,37,27,8,3,11,20,2016-12-12 00:00:00,TOR,AWAY
29,"DEC 10, 2016 - MIL @ WAS",L,240,105,40,79,50.6,13,25,52.0,12,15,80.0,7,33,40,22,1,3,20,21,2016-12-10 00:00:00,WAS,AWAY
