,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
33,"DEC 05, 2016 - IND @ GSW",L,31,21,4,12,33.3,0,2,0.0,13,13,100.0,1,9,10,3,1,0,2,2,-33,2016-12-05 00:00:00,GSW,AWAY
34,"DEC 04, 2016 - IND @ LAC",W,34,16,6,13,46.2,3,6,50.0,1,1,100.0,0,7,7,5,3,0,2,5,-6,2016-12-04 00:00:00,LAC,AWAY
35,"NOV 23, 2016 - IND vs. ATL",L,38,18,6,22,27.3,2,11,18.2,4,4,100.0,1,5,6,3,3,0,3,2,2,2016-11-23 00:00:00,ATL,HOME
36,"NOV 16, 2016 - IND vs. CLE",W,37,21,8,18,44.4,3,9,33.3,2,2,100.0,0,11,11,5,2,1,3,1,24,2016-11-16 00:00:00,CLE,HOME
37,"NOV 14, 2016 - IND vs. ORL",W,34,13,5,16,31.3,1,5,20.0,2,2,100.0,1,5,6,5,2,1,2,1,10,2016-11-14 00:00:00,ORL,HOME
38,"NOV 11, 2016 - IND @ PHI",L,40,26,9,20,45.0,1,4,25.0,7,7,100.0,3,5,8,4,2,0,1,5,-17,2016-11-11 00:00:00,PHI,AWAY
39,"NOV 09, 2016 - IND vs. PHI",W,32,28,13,22,59.1,2,7,28.6,0,0,0.0,1,6,7,3,1,0,5,3,11,2016-11-09 00:00:00,PHI,HOME
40,"NOV 07, 2016 - IND @ CHA",L,33,10,4,12,33.3,1,6,16.7,1,1,100.0,2,5,7,6,2,0,5,2,-14,2016-11-07 00:00:00,CHA,AWAY
41,"NOV 05, 2016 - IND vs. CHI",W,29,13,5,10,50.0,3,5,60.0,0,0,0.0,2,4,6,3,2,0,1,3,11,2016-11-05 00:00:00,CHI,HOME
42,"NOV 03, 2016 - IND @ MIL",L,37,23,9,20,45.0,4,8,50.0,1,3,33.3,1,4,5,1,1,3,6,3,-17,2016-11-03 00:00:00,MIL,AWAY
43,"NOV 01, 2016 - IND vs. LAL",W,37,30,8,16,50.0,2,5,40.0,12,12,100.0,2,5,7,1,4,1,6,2,10,2016-11-01 00:00:00,LAL,HOME
44,"OCT 29, 2016 - IND @ CHI",L,24,20,8,12,66.7,4,5,80.0,0,0,0.0,0,1,1,3,1,0,3,4,-6,2016-10-29 00:00:00,CHI,AWAY
45,"OCT 28, 2016 - IND @ BKN",L,36,22,8,22,36.4,2,8,25.0,4,4,100.0,1,8,9,2,2,0,1,2,-4,2016-10-28 00:00:00,BKN,AWAY
46,"OCT 26, 2016 - IND vs. DAL",W,43,25,7,14,50.0,4,5,80.0,7,8,87.5,0,8,8,6,0,0,2,2,24,2016-10-26 00:00:00,DAL,HOME
