DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.7,10.3,45.5,100%,44.5,1.0
3 Pointers,1.2,3.8,30.9,36.5%,35.0,-4.1
2 Pointers,3.5,6.5,53.9,63.5%,48.9,5.0
Less Than 6 Ft,1.5,2.2,70.3,21.2%,60.7,9.5
Less Than 10 Ft,2.2,3.5,63.3,34.4%,54.8,8.5
Greater Than 15 Ft,2.0,5.8,34.8,56.6%,37.0,-2.3
