,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,51,48.3,104.9,22,29,0.431,39.5,83.1,47.5,8.5,22.9,36.9,17.5,23.2,75.4,9.5,32.5,42.1,24.5,14.3,8.3,5.7,20.3,-0.2,38.0,84.5,45.0,10.7,29.8,35.8,18.4,23.7,77.5,10.8,32.1,42.9,24.4,14.6,7.6,5.2,5.7,19.6,105.1
1,Home,26,48.4,108.7,13,13,0.5,40.4,83.4,48.4,8.6,22.4,38.3,19.3,25.4,76.1,9.0,32.5,41.5,24.8,13.9,9.1,5.7,20.5,2.8,37.6,83.2,45.1,11.1,31.2,35.6,19.6,24.6,79.7,9.7,31.9,41.6,24.7,15.7,7.2,5.2,5.7,20.9,105.8
2,Road,25,48.2,101.0,9,16,0.36,38.5,82.8,46.5,8.3,23.4,35.5,15.7,21.0,74.7,10.0,32.6,42.7,24.2,14.7,7.5,5.6,20.1,-3.3,38.5,85.8,44.9,10.2,28.4,36.1,17.1,22.8,75.0,12.0,32.2,44.2,24.2,13.4,8.0,5.1,5.6,18.3,104.4
3,Wins,22,48.0,112.8,22,0,1.0,42.0,82.3,51.0,9.5,23.4,40.5,19.3,25.1,76.9,9.2,34.0,43.3,26.9,13.7,9.4,6.6,19.3,13.0,36.2,83.9,43.1,9.9,29.5,33.5,17.5,22.9,76.5,10.0,29.9,39.8,23.4,15.1,7.8,4.5,6.6,19.8,99.8
4,Losses,29,48.5,99.0,0,29,0.0,37.6,83.8,44.8,7.7,22.6,34.0,16.2,21.8,74.2,9.7,31.4,41.1,22.7,14.8,7.4,5.0,21.1,-10.2,39.4,85.0,46.4,11.2,30.0,37.5,19.0,24.3,78.2,11.5,33.7,45.2,25.2,14.2,7.4,5.7,5.0,19.5,109.2
5,October,3,48.0,96.3,1,2,0.333,38.0,89.0,42.7,5.0,18.3,27.3,15.3,19.3,79.3,9.3,34.0,43.3,23.3,11.3,9.3,4.7,20.3,-8.0,38.7,87.0,44.4,7.7,25.7,29.9,19.3,24.0,80.6,12.7,38.7,51.3,24.3,14.7,8.3,6.7,4.7,19.3,104.3
6,November,13,48.4,104.2,7,6,0.538,39.5,85.0,46.4,8.8,25.6,34.5,16.4,21.2,77.5,10.5,34.5,44.9,24.7,15.5,8.9,5.2,21.8,2.4,36.2,84.0,43.0,9.7,30.3,32.0,19.8,24.8,79.8,10.2,32.2,42.4,22.5,14.4,8.2,5.2,5.2,19.6,101.8
7,December,16,48.3,107.6,8,8,0.5,40.4,82.4,49.1,9.1,23.6,38.7,17.6,23.5,74.7,8.8,33.4,42.2,25.3,12.8,7.0,5.8,18.8,4.6,37.6,85.1,44.2,10.8,29.1,36.9,17.0,22.5,75.6,10.4,31.4,41.8,25.1,13.8,6.4,4.4,5.8,18.5,103.0
8,January,15,48.3,103.8,5,10,0.333,38.5,82.7,46.5,8.3,21.7,38.2,18.6,24.3,76.4,10.1,29.9,40.1,24.1,15.0,8.6,5.3,20.1,-5.1,39.8,83.5,47.7,12.1,30.9,39.0,17.3,22.4,77.1,10.5,31.5,42.1,25.3,15.3,8.0,6.1,5.3,20.4,108.9
9,February,4,48.0,107.5,1,3,0.25,40.5,77.3,52.4,7.8,19.8,39.2,18.8,27.8,67.6,7.3,31.5,38.8,23.0,16.0,9.5,8.8,22.5,-3.3,38.8,86.0,45.1,10.5,29.5,35.6,22.8,29.8,76.5,14.3,31.3,45.5,24.5,16.0,8.0,3.8,8.8,21.3,110.8
10,Pre All-Star,51,48.3,104.9,22,29,0.431,39.5,83.1,47.5,8.5,22.9,36.9,17.5,23.2,75.4,9.5,32.5,42.1,24.5,14.3,8.3,5.7,20.3,-0.2,38.0,84.5,45.0,10.7,29.8,35.8,18.4,23.7,77.5,10.8,32.1,42.9,24.4,14.6,7.6,5.2,5.7,19.6,105.1
11,0 Days Rest,11,48.9,99.5,3,8,0.273,37.5,82.3,45.6,7.7,20.5,37.6,16.7,22.2,75.4,9.4,34.5,43.9,22.6,14.8,6.9,5.5,20.7,-1.7,36.9,87.1,42.4,10.1,29.1,34.7,17.4,23.7,73.2,12.5,33.5,46.0,22.4,13.3,7.7,4.9,5.5,20.2,101.3
12,1 Days Rest,29,48.0,108.1,16,13,0.552,40.4,82.6,48.9,9.0,24.3,37.0,18.3,23.9,76.8,9.2,31.6,40.9,25.2,14.7,9.0,6.2,20.0,2.2,38.4,84.3,45.6,10.8,30.0,36.1,18.2,23.4,77.6,10.9,31.0,41.9,25.2,15.6,7.8,5.1,6.2,19.4,105.9
13,2 Days Rest,4,48.0,109.0,3,1,0.75,41.5,87.5,47.4,8.5,19.3,44.2,17.5,22.8,76.9,11.5,32.0,43.5,28.0,12.3,9.5,4.5,20.0,4.0,38.3,80.0,47.8,10.0,28.8,34.8,18.5,23.8,77.9,7.0,31.3,38.3,27.0,15.0,7.5,5.8,4.5,18.8,105.0
14,3 Days Rest,6,48.8,98.2,0,6,0.0,37.3,83.2,44.9,8.0,24.0,33.3,15.5,22.8,67.9,9.7,33.2,42.8,22.2,13.7,7.2,4.3,20.7,-9.8,37.7,83.0,45.4,12.0,31.8,37.7,20.7,24.8,83.2,9.8,33.7,43.5,22.2,13.0,6.5,4.8,4.3,19.7,108.0
15,6+ Days Rest,1,48.0,96.0,0,1,0.0,39.0,92.0,42.4,3.0,16.0,18.8,15.0,20.0,75.0,10.0,36.0,46.0,23.0,8.0,4.0,5.0,22.0,-11.0,40.0,89.0,44.9,7.0,23.0,30.4,20.0,24.0,83.3,11.0,40.0,51.0,27.0,10.0,5.0,10.0,5.0,22.0,107.0
