,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
41,"NOV 19, 2016 - DAL @ ORL",L,240,87,26,77,33.8,13,28,46.4,22,27,81.5,5,29,34,13,8,5,13,16,2016-11-19 00:00:00,ORL,AWAY
42,"NOV 18, 2016 - DAL vs. MEM",L,240,64,21,73,28.8,5,25,20.0,17,22,77.3,10,35,45,9,3,7,17,14,2016-11-18 00:00:00,MEM,HOME
43,"NOV 16, 2016 - DAL @ BOS",L,240,83,34,83,41.0,8,23,34.8,7,10,70.0,5,27,32,16,9,3,9,19,2016-11-16 00:00:00,BOS,AWAY
44,"NOV 14, 2016 - DAL @ NYK",L,240,77,32,84,38.1,5,27,18.5,8,11,72.7,11,29,40,15,8,7,11,16,2016-11-14 00:00:00,NYK,AWAY
45,"NOV 09, 2016 - DAL @ GSW",L,240,95,34,86,39.5,6,28,21.4,21,28,75.0,13,29,42,20,10,2,7,20,2016-11-09 00:00:00,GSW,AWAY
46,"NOV 08, 2016 - DAL @ LAL",W,240,109,43,82,52.4,10,23,43.5,13,15,86.7,8,29,37,24,11,4,11,12,2016-11-08 00:00:00,LAL,AWAY
47,"NOV 06, 2016 - DAL vs. MIL",W,265,86,33,88,37.5,9,38,23.7,11,12,91.7,10,36,46,14,12,2,15,20,2016-11-06 00:00:00,MIL,HOME
48,"NOV 04, 2016 - DAL vs. POR",L,240,95,34,83,41.0,10,28,35.7,17,20,85.0,7,37,44,18,5,3,12,21,2016-11-04 00:00:00,POR,HOME
49,"NOV 02, 2016 - DAL @ UTA",L,240,81,33,77,42.9,7,26,26.9,8,10,80.0,6,30,36,18,4,4,12,20,2016-11-02 00:00:00,UTA,AWAY
50,"OCT 30, 2016 - DAL @ HOU",L,240,92,32,84,38.1,11,30,36.7,17,20,85.0,12,30,42,17,8,3,9,17,2016-10-30 00:00:00,HOU,AWAY
51,"OCT 28, 2016 - DAL vs. HOU",L,240,98,35,80,43.8,8,29,27.6,20,24,83.3,6,28,34,13,11,2,9,21,2016-10-28 00:00:00,HOU,HOME
52,"OCT 26, 2016 - DAL @ IND",L,265,121,45,104,43.3,18,48,37.5,13,18,72.2,10,39,49,26,8,8,15,27,2016-10-26 00:00:00,IND,AWAY
