,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - BKN vs. WAS",L,265,110,38,91,41.8,9,33,27.3,25,36,69.4,15,40,55,20,6,5,16,24,2017-02-08 00:00:00,WAS,HOME
1,"FEB 07, 2017 - BKN @ CHA",L,240,107,39,86,45.3,12,36,33.3,17,21,81.0,4,41,45,26,3,9,15,23,2017-02-07 00:00:00,CHA,AWAY
2,"FEB 05, 2017 - BKN vs. TOR",L,240,95,32,76,42.1,13,34,38.2,18,21,85.7,7,36,43,19,8,7,21,19,2017-02-05 00:00:00,TOR,HOME
3,"FEB 03, 2017 - BKN vs. IND",L,240,97,32,86,37.2,11,28,39.3,22,23,95.7,9,35,44,20,7,4,19,22,2017-02-03 00:00:00,IND,HOME
4,"FEB 01, 2017 - BKN vs. NYK",L,240,90,37,88,42.0,5,25,20.0,11,16,68.8,12,37,49,17,4,7,20,24,2017-02-01 00:00:00,NYK,HOME
5,"JAN 30, 2017 - BKN @ MIA",L,240,96,37,87,42.5,4,26,15.4,18,22,81.8,15,38,53,16,7,4,16,23,2017-01-30 00:00:00,MIA,AWAY
6,"JAN 28, 2017 - BKN @ MIN",L,240,109,41,85,48.2,7,21,33.3,20,25,80.0,5,35,40,20,6,6,14,18,2017-01-28 00:00:00,MIN,AWAY
7,"JAN 27, 2017 - BKN @ CLE",L,240,116,43,87,49.4,16,33,48.5,14,16,87.5,4,33,37,23,9,2,10,15,2017-01-27 00:00:00,CLE,AWAY
8,"JAN 25, 2017 - BKN vs. MIA",L,240,106,35,80,43.8,13,35,37.1,23,26,88.5,4,29,33,20,3,4,15,25,2017-01-25 00:00:00,MIA,HOME
9,"JAN 23, 2017 - BKN vs. SAS",L,240,86,32,81,39.5,5,25,20.0,17,18,94.4,5,33,38,14,2,5,16,18,2017-01-23 00:00:00,SAS,HOME
10,"JAN 21, 2017 - BKN @ CHA",L,240,105,38,88,43.2,17,41,41.5,12,15,80.0,4,36,40,30,9,3,12,17,2017-01-21 00:00:00,CHA,AWAY
11,"JAN 20, 2017 - BKN @ NOP",W,240,143,48,83,57.8,15,30,50.0,32,35,91.4,9,43,52,24,5,6,16,20,2017-01-20 00:00:00,NOP,AWAY
12,"JAN 17, 2017 - BKN vs. TOR",L,240,109,40,89,44.9,7,26,26.9,22,24,91.7,11,30,41,20,7,6,13,19,2017-01-17 00:00:00,TOR,HOME
13,"JAN 15, 2017 - BKN vs. HOU",L,240,112,41,93,44.1,15,44,34.1,15,19,78.9,9,29,38,29,9,5,16,25,2017-01-15 00:00:00,HOU,HOME
14,"JAN 13, 2017 - BKN @ TOR",L,240,113,40,86,46.5,17,36,47.2,16,20,80.0,4,31,35,26,5,1,11,16,2017-01-13 00:00:00,TOR,AWAY
15,"JAN 12, 2017 - BKN vs. NOP",L,240,95,40,97,41.2,9,42,21.4,6,11,54.5,7,43,50,22,10,6,16,20,2017-01-12 00:00:00,NOP,HOME
16,"JAN 10, 2017 - BKN vs. ATL",L,240,97,35,87,40.2,10,29,34.5,17,23,73.9,14,34,48,22,5,4,17,24,2017-01-10 00:00:00,ATL,HOME
17,"JAN 08, 2017 - BKN vs. PHI",L,240,95,36,78,46.2,10,27,37.0,13,17,76.5,4,36,40,21,6,8,22,23,2017-01-08 00:00:00,PHI,HOME
18,"JAN 06, 2017 - BKN vs. CLE",L,240,108,41,91,45.1,9,30,30.0,17,19,89.5,10,42,52,21,6,1,19,34,2017-01-06 00:00:00,CLE,HOME
19,"JAN 05, 2017 - BKN @ IND",L,240,109,41,90,45.6,17,38,44.7,10,13,76.9,8,37,45,22,5,8,13,17,2017-01-05 00:00:00,IND,AWAY
20,"JAN 02, 2017 - BKN vs. UTA",L,240,89,33,78,42.3,6,27,22.2,17,23,73.9,8,36,44,13,5,5,15,20,2017-01-02 00:00:00,UTA,HOME
21,"DEC 30, 2016 - BKN @ WAS",L,240,95,32,74,43.2,10,25,40.0,21,25,84.0,6,26,32,18,9,0,21,16,2016-12-30 00:00:00,WAS,AWAY
22,"DEC 28, 2016 - BKN @ CHI",L,240,99,37,86,43.0,13,32,40.6,12,16,75.0,9,28,37,21,9,6,14,22,2016-12-28 00:00:00,CHI,AWAY
23,"DEC 26, 2016 - BKN vs. CHA",W,240,120,40,75,53.3,15,31,48.4,25,31,80.6,4,35,39,26,4,8,15,21,2016-12-26 00:00:00,CHA,HOME
24,"DEC 23, 2016 - BKN @ CLE",L,240,99,38,85,44.7,8,30,26.7,15,18,83.3,7,37,44,22,6,7,19,22,2016-12-23 00:00:00,CLE,AWAY
25,"DEC 22, 2016 - BKN vs. GSW",L,240,101,38,86,44.2,13,35,37.1,12,16,75.0,7,39,46,22,6,6,26,15,2016-12-22 00:00:00,GSW,HOME
26,"DEC 20, 2016 - BKN @ TOR",L,240,104,36,91,39.6,10,35,28.6,22,28,78.6,14,38,52,20,9,5,16,23,2016-12-20 00:00:00,TOR,AWAY
27,"DEC 18, 2016 - BKN @ PHI",L,240,107,36,81,44.4,12,34,35.3,23,31,74.2,7,36,43,26,8,5,16,20,2016-12-18 00:00:00,PHI,AWAY
28,"DEC 16, 2016 - BKN @ ORL",L,240,111,39,83,47.0,11,27,40.7,22,26,84.6,6,39,45,21,5,6,17,32,2016-12-16 00:00:00,ORL,AWAY
29,"DEC 14, 2016 - BKN vs. LAL",W,240,107,33,86,38.4,11,35,31.4,30,40,75.0,19,42,61,19,7,4,15,26,2016-12-14 00:00:00,LAL,HOME
30,"DEC 12, 2016 - BKN @ HOU",L,240,118,42,80,52.5,7,20,35.0,27,36,75.0,6,35,41,21,9,4,19,27,2016-12-12 00:00:00,HOU,AWAY
31,"DEC 10, 2016 - BKN @ SAS",L,240,101,36,87,41.4,7,27,25.9,22,25,88.0,11,36,47,21,6,2,16,16,2016-12-10 00:00:00,SAS,AWAY
32,"DEC 07, 2016 - BKN vs. DEN",W,240,116,41,85,48.2,9,26,34.6,25,31,80.6,10,32,42,18,11,5,15,19,2016-12-07 00:00:00,DEN,HOME
33,"DEC 05, 2016 - BKN vs. WAS",L,240,113,40,81,49.4,11,27,40.7,22,30,73.3,13,37,50,25,5,3,21,15,2016-12-05 00:00:00,WAS,HOME
34,"DEC 03, 2016 - BKN @ MIL",L,240,103,34,91,37.4,11,41,26.8,24,33,72.7,10,36,46,21,6,5,14,26,2016-12-03 00:00:00,MIL,AWAY
35,"DEC 01, 2016 - BKN vs. MIL",L,240,93,34,89,38.2,12,40,30.0,13,16,81.3,12,28,40,20,9,9,17,22,2016-12-01 00:00:00,MIL,HOME
36,"NOV 29, 2016 - BKN vs. LAC",W,290,127,45,104,43.3,13,38,34.2,24,36,66.7,7,46,53,22,10,3,13,23,2016-11-29 00:00:00,LAC,HOME
37,"NOV 27, 2016 - BKN vs. SAC",L,240,105,38,87,43.7,16,39,41.0,13,14,92.9,9,33,42,19,7,1,15,21,2016-11-27 00:00:00,SAC,HOME
38,"NOV 25, 2016 - BKN @ IND",L,240,97,36,79,45.6,11,34,32.4,14,23,60.9,9,29,38,24,8,4,19,17,2016-11-25 00:00:00,IND,AWAY
39,"NOV 23, 2016 - BKN vs. BOS",L,240,92,34,86,39.5,10,31,32.3,14,22,63.6,9,36,45,18,7,7,19,12,2016-11-23 00:00:00,BOS,HOME
40,"NOV 20, 2016 - BKN vs. POR",L,240,109,37,93,39.8,10,35,28.6,25,31,80.6,11,25,36,22,5,3,9,20,2016-11-20 00:00:00,POR,HOME
41,"NOV 18, 2016 - BKN @ OKC",L,240,105,35,83,42.2,11,29,37.9,24,30,80.0,7,23,30,19,6,2,16,19,2016-11-18 00:00:00,OKC,AWAY
42,"NOV 15, 2016 - BKN @ LAL",L,240,118,45,99,45.5,12,41,29.3,16,20,80.0,9,38,47,23,8,6,14,27,2016-11-15 00:00:00,LAL,AWAY
43,"NOV 14, 2016 - BKN @ LAC",L,240,95,34,77,44.2,10,33,30.3,17,22,77.3,9,28,37,18,6,2,21,21,2016-11-14 00:00:00,LAC,AWAY
44,"NOV 12, 2016 - BKN @ PHX",W,240,122,40,84,47.6,16,37,43.2,26,30,86.7,6,49,55,22,6,10,17,19,2016-11-12 00:00:00,PHX,AWAY
45,"NOV 09, 2016 - BKN @ NYK",L,240,96,33,79,41.8,11,33,33.3,19,27,70.4,7,33,40,19,9,4,18,20,2016-11-09 00:00:00,NYK,AWAY
46,"NOV 08, 2016 - BKN vs. MIN",W,240,119,42,76,55.3,12,33,36.4,23,26,88.5,5,38,43,20,5,5,20,19,2016-11-08 00:00:00,MIN,HOME
