DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.5,8.5,40.8,100%,45.3,-4.5
3 Pointers,0.9,3.0,31.9,34.7%,36.5,-4.6
2 Pointers,2.5,5.6,45.5,65.3%,49.7,-4.2
Less Than 6 Ft,1.4,2.4,58.8,28.4%,61.4,-2.6
Less Than 10 Ft,1.8,3.3,53.1,38.8%,55.8,-2.7
Greater Than 15 Ft,1.5,4.6,32.9,53.4%,38.0,-5.1
