DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,5.9,13.3,44.6,100%,45.5,-0.9
3 Pointers,2.2,5.6,39.2,42.2%,36.6,2.6
2 Pointers,3.7,7.7,48.6,57.8%,50.0,-1.4
Less Than 6 Ft,1.8,3.3,53.3,24.7%,60.9,-7.6
Less Than 10 Ft,2.2,4.2,51.9,31.3%,55.7,-3.8
Greater Than 15 Ft,3.1,7.9,39.5,59.5%,38.3,1.1
