DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.8,6.1,46.1,100%,43.4,2.7
3 Pointers,1.1,2.7,41.9,44.0%,35.1,6.8
2 Pointers,1.7,3.4,49.4,56.0%,48.5,0.9
Less Than 6 Ft,1.1,1.8,63.4,29.1%,62.0,1.4
Less Than 10 Ft,1.2,2.2,56.0,35.5%,55.3,0.7
Greater Than 15 Ft,1.5,3.6,41.0,58.9%,36.4,4.6
