DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,5.2,12.2,42.3,100%,45.9,-3.6
3 Pointers,1.4,4.4,32.4,36.0%,35.0,-2.7
2 Pointers,3.7,7.8,47.9,64.0%,50.3,-2.4
Less Than 6 Ft,1.8,3.0,58.6,24.8%,60.4,-1.8
Less Than 10 Ft,2.3,4.2,54.7,34.8%,55.6,-0.9
Greater Than 15 Ft,2.4,7.0,33.7,57.4%,37.2,-3.4
