DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.4,9.6,45.5,100%,45.3,0.2
3 Pointers,1.4,4.1,33.8,42.9%,35.7,-1.9
2 Pointers,3.0,5.5,54.3,57.1%,50.4,3.9
Less Than 6 Ft,1.7,2.8,61.3,29.4%,61.3,0.0
Less Than 10 Ft,2.1,3.5,59.5,36.3%,56.6,2.8
Greater Than 15 Ft,1.9,5.5,35.3,57.3%,36.5,-1.2
