DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.1,8.4,48.7,100%,46.4,2.4
3 Pointers,0.9,1.9,46.8,22.2%,35.7,11.1
2 Pointers,3.2,6.6,49.3,77.8%,50.8,-1.5
Less Than 6 Ft,2.0,3.2,62.6,38.4%,61.3,1.3
Less Than 10 Ft,2.6,4.6,56.3,54.1%,56.4,-0.1
Greater Than 15 Ft,1.3,3.3,40.7,38.7%,36.0,4.8
