DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.8,4.9,36.7,100%,44.1,-7.3
3 Pointers,0.5,2.2,22.9,44.3%,36.0,-13.1
2 Pointers,1.3,2.8,47.7,55.7%,49.2,-1.5
Less Than 6 Ft,0.7,1.1,64.7,21.5%,62.1,2.6
Less Than 10 Ft,1.0,1.7,59.3,34.2%,56.0,3.2
Greater Than 15 Ft,0.7,2.9,23.4,59.5%,37.6,-14.2
