DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.4,7.0,47.9,100%,45.2,2.7
3 Pointers,1.1,3.0,36.3,42.6%,36.8,-0.5
2 Pointers,2.3,4.0,56.6,57.4%,50.1,6.5
Less Than 6 Ft,1.1,1.5,72.7,20.8%,61.0,11.8
Less Than 10 Ft,1.3,2.0,64.8,27.8%,56.2,8.5
Greater Than 15 Ft,1.8,4.4,40.4,62.5%,38.9,1.5
