DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.6,4.3,37.5,100%,44.1,-6.6
3 Pointers,0.2,1.6,14.3,37.5%,36.1,-21.8
2 Pointers,1.4,2.7,51.4,62.5%,48.7,2.8
Less Than 6 Ft,0.5,0.8,60.0,17.9%,60.5,-0.5
Less Than 10 Ft,0.8,1.7,50.0,39.3%,53.9,-3.9
Greater Than 15 Ft,0.6,2.5,25.0,57.1%,37.9,-12.9
