DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,0.3,1.3,25.0,100%,49.2,-24.2
3 Pointers,0.0,0.3,0.0,25.0%,16.7,-16.7
2 Pointers,0.3,1.0,33.3,75.0%,51.8,-18.5
Less Than 6 Ft,0.3,1.0,33.3,75.0%,64.3,-31.0
Less Than 10 Ft,0.3,1.0,33.3,75.0%,57.5,-24.2
Greater Than 15 Ft,0.0,0.3,0.0,25.0%,8.3,-8.3
