DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.7,3.7,46.2,100%,43.1,3.1
3 Pointers,0.6,1.5,38.8,39.6%,35.4,3.4
2 Pointers,1.1,2.2,51.0,60.4%,47.1,3.9
Less Than 6 Ft,0.6,0.8,71.8,23.1%,58.6,13.2
Less Than 10 Ft,0.7,1.3,55.9,34.9%,51.9,4.0
Greater Than 15 Ft,0.8,2.0,38.0,54.4%,36.2,1.8
