DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.2,2.8,43.7,100%,46.3,-2.6
3 Pointers,0.3,0.7,47.1,23.9%,32.7,14.3
2 Pointers,0.9,2.2,42.6,76.1%,51.9,-9.3
Less Than 6 Ft,0.6,1.3,48.5,46.5%,61.7,-13.2
Less Than 10 Ft,0.7,1.6,46.2,54.9%,57.4,-11.3
Greater Than 15 Ft,0.5,1.1,42.9,39.4%,34.6,8.2
