DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.1,2.5,42.6,100%,45.2,-2.6
3 Pointers,0.3,0.8,33.3,31.9%,36.0,-2.6
2 Pointers,0.8,1.7,46.9,68.1%,50.3,-3.5
Less Than 6 Ft,0.6,0.9,64.7,36.2%,62.8,1.9
Less Than 10 Ft,0.7,1.2,56.5,48.9%,55.9,0.6
Greater Than 15 Ft,0.4,1.3,29.2,51.1%,36.2,-7.1
