DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.5,9.8,46.1,100%,44.4,1.7
3 Pointers,1.5,3.9,39.2,40.1%,36.4,2.8
2 Pointers,3.0,5.9,50.8,59.9%,48.8,2.0
Less Than 6 Ft,1.6,2.2,70.2,22.9%,60.2,10.1
Less Than 10 Ft,2.0,3.4,59.2,34.8%,54.0,5.2
Greater Than 15 Ft,2.3,5.6,40.9,57.3%,38.0,2.9
