DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.9,9.9,39.1,100%,44.1,-5.0
3 Pointers,1.3,3.5,36.1,35.1%,36.6,-0.5
2 Pointers,2.6,6.4,40.8,64.9%,48.3,-7.5
Less Than 6 Ft,1.3,2.3,55.6,22.8%,58.3,-2.7
Less Than 10 Ft,1.8,3.5,50.5,35.1%,54.2,-3.7
Greater Than 15 Ft,1.8,5.6,31.6,57.2%,37.9,-6.3
