DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.8,11.4,42.0,100%,44.5,-2.5
3 Pointers,1.6,4.9,32.8,43.0%,36.1,-3.3
2 Pointers,3.2,6.5,48.9,57.0%,48.8,0.1
Less Than 6 Ft,1.3,2.0,62.7,17.6%,58.1,4.6
Less Than 10 Ft,1.6,3.0,54.2,26.7%,53.4,0.7
Greater Than 15 Ft,2.6,7.3,36.3,64.0%,38.1,-1.8
