DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.5,2.5,100,100%,43.7,56.3
3 Pointers,-,-,-,-%,-,-
2 Pointers,2.5,2.5,100,100%,49.3,50.7
Less Than 6 Ft,1.0,1.0,100,40.0%,69.4,30.7
Less Than 10 Ft,1.5,1.5,100,60.0%,58.1,41.9
Greater Than 15 Ft,1.0,1.0,100,40.0%,35.8,64.3
