DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.3,7.5,43.1,100%,45.6,-2.5
3 Pointers,0.9,2.4,35.7,32.1%,35.8,-0.1
2 Pointers,2.4,5.1,46.6,67.9%,50.1,-3.5
Less Than 6 Ft,1.4,2.5,54.2,33.4%,61.4,-7.2
Less Than 10 Ft,1.7,3.4,50.0,44.9%,56.6,-6.6
Greater Than 15 Ft,1.3,3.5,37.9,46.4%,37.4,0.5
