DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.8,4.0,43.8,100%,43.4,0.4
3 Pointers,0.5,1.4,33.3,35.3%,35.1,-1.8
2 Pointers,1.3,2.6,49.5,64.7%,48.3,1.2
Less Than 6 Ft,0.8,1.1,70.7,26.8%,62.0,8.8
Less Than 10 Ft,0.8,1.3,62.0,32.7%,56.0,6.0
Greater Than 15 Ft,0.8,2.3,36.4,57.5%,36.0,0.3
