,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,55,48.0,104.4,18,37,0.327,38.6,87.0,44.4,9.2,26.3,35.0,17.9,23.3,76.8,11.7,32.6,44.3,20.6,15.2,7.7,3.9,20.7,-6.1,41.3,86.5,47.7,10.0,27.3,36.4,17.9,23.7,75.5,10.5,34.1,44.6,25.0,13.8,8.6,5.3,3.9,18.7,110.5
1,Home,25,48.0,109.2,12,13,0.48,40.4,87.8,46.0,9.8,26.4,37.3,18.5,24.2,76.5,12.2,32.8,45.0,22.2,14.2,7.9,3.3,19.8,0.8,40.7,86.0,47.3,9.9,27.2,36.4,17.1,22.8,75.2,10.0,32.8,42.7,24.4,14.4,8.1,5.6,3.3,19.2,108.4
2,Road,30,48.0,100.4,6,24,0.2,37.2,86.3,43.1,8.7,26.2,33.0,17.4,22.6,77.0,11.2,32.4,43.6,19.3,16.1,7.5,4.3,21.4,-11.8,41.8,87.0,48.0,10.0,27.5,36.5,18.6,24.5,75.7,11.0,35.2,46.2,25.5,13.4,9.0,5.0,4.3,18.3,112.2
3,Wins,18,48.0,114.5,18,0,1.0,42.6,88.3,48.3,10.2,26.9,37.7,19.1,24.7,77.5,12.2,36.3,48.5,23.3,15.3,8.7,4.4,20.6,12.2,37.8,88.1,42.9,8.6,27.7,30.9,18.1,23.9,75.6,11.0,31.4,42.4,22.9,15.1,9.0,4.4,4.4,19.4,102.3
4,Losses,37,48.0,99.4,0,37,0.0,36.7,86.4,42.5,8.7,26.0,33.6,17.3,22.6,76.4,11.4,30.8,42.2,19.2,15.2,7.2,3.6,20.7,-15.0,43.0,85.8,50.1,10.6,27.2,39.2,17.8,23.6,75.4,10.3,35.4,45.7,26.0,13.2,8.4,5.7,3.6,18.4,114.4
5,October,3,48.0,101.7,1,2,0.333,37.3,86.7,43.1,9.3,30.0,31.1,17.7,22.3,79.1,11.0,30.0,41.0,19.0,18.3,10.3,4.3,23.7,-6.0,40.0,85.3,46.9,7.3,26.7,27.5,20.3,28.0,72.6,11.0,32.7,43.7,24.0,16.3,9.7,4.7,4.3,21.0,107.7
6,November,17,48.0,107.5,9,8,0.529,40.1,87.2,46.0,8.9,24.8,36.1,18.3,23.5,77.9,11.1,34.2,45.2,22.4,15.5,8.4,3.6,20.5,-2.4,41.4,86.9,47.6,9.6,27.5,35.0,17.5,23.3,75.3,9.6,33.5,43.1,26.1,14.2,9.4,5.1,3.6,18.8,109.9
7,December,16,48.0,100.6,2,14,0.125,37.1,85.3,43.4,8.8,25.4,34.5,17.8,23.1,77.0,12.6,30.3,42.9,18.6,16.1,7.6,3.5,19.4,-10.1,41.6,85.9,48.4,11.3,28.8,39.3,16.3,22.0,73.9,11.9,33.6,45.4,25.4,14.2,9.1,5.5,3.5,18.4,110.7
8,January,15,48.0,104.0,5,10,0.333,38.7,87.3,44.3,9.7,26.7,36.4,16.9,22.8,74.3,11.1,32.9,44.1,20.9,13.4,6.5,4.1,20.7,-6.4,40.8,86.2,47.3,9.7,26.0,37.2,19.1,24.5,78.2,10.2,35.1,45.3,23.4,12.3,7.0,5.7,4.1,18.4,110.4
9,February,4,48.0,109.5,1,3,0.25,39.5,92.3,42.8,10.0,32.0,31.3,20.5,26.3,78.1,13.5,35.3,48.8,20.8,15.3,7.8,5.0,23.8,-4.8,42.8,89.3,47.9,9.0,26.3,34.3,19.8,26.5,74.5,9.8,36.3,46.0,25.8,14.8,8.5,4.3,5.0,19.0,114.3
