"","zip","Year","Count","MedNormSourceEUI","MedSiteEUI","MedSourceEUI","MedNormSiteEUI","city.x","Borough","Observations","region","city.y","state","latitude","longitude"
"225","10453","2013",NA,127.75,95.5,131.95,127.75,"NYC","BRONX",132,"10453","Bronx","NY",40.853017,-73.91214
"226","10453","2014",NA,128.9,93.45,131.55,128.9,"NYC","BRONX",136,"10453","Bronx","NY",40.853017,-73.91214
"227","10453","2012",NA,132.9,88.1,NA,132.9,"NYC","BRONX",139,"10453","Bronx","NY",40.853017,-73.91214
"228","10454","2011",NA,69.5,29.6,NA,69.5,"NYC","BRONX",17,"10454","Bronx","NY",40.805968,-73.91628
"229","10454","2013",NA,81.15,67.8,82.3,81.15,"NYC","BRONX",41,"10454","Bronx","NY",40.805968,-73.91628
"230","10454","2014",NA,106.5,53.1,103.9,106.5,"NYC","BRONX",39,"10454","Bronx","NY",40.805968,-73.91628
"231","10454","2012",NA,108.1,54.8,NA,108.1,"NYC","BRONX",41,"10454","Bronx","NY",40.805968,-73.91628
"232","10455","2012",NA,125.6,74.65,NA,125.6,"NYC","BRONX",48,"10455","Bronx","NY",40.815559,-73.90771
"233","10455","2014",NA,119.2,81.4,121.35,119.2,"NYC","BRONX",48,"10455","Bronx","NY",40.815559,-73.90771
"234","10455","2013",NA,118.6,79.3,118.5,118.6,"NYC","BRONX",43,"10455","Bronx","NY",40.815559,-73.90771
"235","10455","2011",NA,106.6,64.5,NA,106.6,"NYC","BRONX",8,"10455","Bronx","NY",40.815559,-73.90771
"236","10456","2012",NA,135.2,87.5,NA,135.2,"NYC","BRONX",89,"10456","Bronx","NY",40.829676,-73.90856
"237","10456","2014",NA,124.2,89.8,130.05,124.2,"NYC","BRONX",90,"10456","Bronx","NY",40.829676,-73.90856
"238","10456","2013",NA,130.8,93.4,132.3,130.8,"NYC","BRONX",83,"10456","Bronx","NY",40.829676,-73.90856
"239","10456","2011",NA,187.6,117.35,NA,187.6,"NYC","BRONX",6,"10456","Bronx","NY",40.829676,-73.90856
"240","10457","2013",NA,126.8,88.8,131.85,126.8,"NYC","BRONX",100,"10457","Bronx","NY",40.846745,-73.89861
"241","10457","2012",NA,138.8,81.5,NA,138.8,"NYC","BRONX",103,"10457","Bronx","NY",40.846745,-73.89861
