movie_rating,count_reviews,movie_rank,movie_title,movie_href
98%,241,1,Zootopia (2016),/m/zootopia
98%,228,2,Moonlight (2016),/m/moonlight_2016
98%,220,3,Hell or High Water (2016),/m/hell_or_high_water
93%,327,4,La La Land (2016),/m/la_la_land
94%,302,5,Arrival (2016),/m/arrival_2016
95%,273,6,The Jungle Book (2016),/m/the_jungle_book_2016
96%,233,7,Manchester by the Sea (2016),/m/manchester_by_the_sea
98%,174,8,Love & Friendship (2016),/m/love_and_friendship
94%,268,9,Finding Dory (2016),/m/finding_dory
97%,184,10,Kubo and the Two Strings (2016),/m/kubo_and_the_two_strings_2016
100%,98,11,Things to Come (L'avenir) (2016),/m/things_to_come_2016
97%,169,12,Hunt for the Wilderpeople (2016),/m/hunt_for_the_wilderpeople
95%,217,13,Moana (2016),/m/moana_2016
99%,111,14,Don't Think Twice (2016),/m/dont_think_twice
90%,331,15,Captain America: Civil War (2016),/m/captain_america_civil_war
96%,173,16,Paterson (2016),/m/paterson
96%,171,17,Sing Street (2016),/m/sing_street
97%,145,18,Weiner (2016),/m/weiner
100%,64,19,Tower (2016),/m/tower_2016
92%,260,20,The Nice Guys (2016),/m/the_nice_guys
99%,83,21,Cameraperson (2016),/m/cameraperson
95%,180,22,Eye In The Sky (2016),/m/eye_in_the_sky
97%,130,23,Embrace Of The Serpent (El Abrazo De La Serpiente) (2016),/m/embrace_of_the_serpent
100%,51,24,Only Yesterday (2016),/m/only_yesterday_1991
91%,269,25,The Witch (2016),/m/the_witch_2016
97%,119,26,Little Men (2016),/m/little_men_2016
100%,44,27,O.J.: Made in America (2016),/m/oj_made_in_america
99%,68,28,The Wailing (Goksung) (2016),/m/the_wailing
95%,164,29,Fences (2016),/m/fences_2016
90%,286,30,Doctor Strange (2016),/m/doctor_strange_2016
95%,159,31,The Edge of Seventeen (2016),/m/the_edge_of_seventeen
90%,267,32,10 Cloverfield Lane (2016),/m/10_cloverfield_lane
98%,65,33,Under The Shadow (2016),/m/under_the_shadow
97%,72,34,The Fits (2016),/m/the_fits_2016
98%,47,35,Long Way North (Tout en haut du monde) (2016),/m/long_way_north
98%,45,36,April and the Extraordinary World (Avril et le monde truqu̩) (2016),/m/april_and_the_extraordinary_world_2016
96%,94,37,De Palma (2016),/m/de_palma
97%,69,38,13th (2016),/m/13th
97%,69,39,Cemetery of Splendor (2016),/m/cemetery_of_splendor
