compound,movie_name,neg,neu,pos,review_detail
0.6369,Zootopia ,0.0,0.625,0.375,one disney best movies past years
0.6597,Zootopia ,0.0,0.769,0.231,zootopia pulls together various elements neo noir mystery buddy cop comedy timely social themes mostly entertaining animated film
-0.3612,Zootopia ,0.143,0.857,0.0,using animal kingdom means convey much sense contemporary world masterstroke owes debt george orwell
0.7184,Zootopia ,0.074,0.585,0.34,behind gaze optimistic inclusive film great homage hard boiled film noir 1940s
0.128,Zootopia ,0.124,0.687,0.189,much willing abandon boundless creativity wallow endless succession overfamiliar narrative constraints time uses constraints generally quite well
0.5267,Zootopia ,0.0,0.702,0.298,perfect embodiment kind fable aesop used tell
-0.34,Zootopia ,0.332,0.408,0.26,fast funny fable need tolerance understanding world fear prejudice convenient
0.4404,Zootopia ,0.0,0.805,0.195,another stellar disney film begs second look thanks evocative overtones commentary
-0.4588,Zootopia ,0.257,0.556,0.188,animal antics display movie also gently broaches human issues stereotyping prejudice racism something worthwhile chew even younger audiences
0.6369,Zootopia ,0.086,0.664,0.25,dazzling design zootopia offers non stop stream invention visual wit perfectly enhances surprisingly involving plot gleaming gem film
0.4019,Zootopia ,0.0,0.748,0.252,plenty charm decent plot keep things moving
0.4588,Zootopia ,0.0,0.727,0.273,deceptively clever movie timely lessons generational demographics
0.0,Zootopia ,0.0,1.0,0.0,zootopia remembers power george orwell animal farm gives disney digital system upgrade brings 21st century
-0.128,Zootopia ,0.134,0.751,0.115,believe disney latest digitally animated feature contra trumpian race conscious political conspiracy neo noir guise funny talking animal cartoon
0.9022,Zootopia ,0.0,0.518,0.482,zootopia vibrant smart movie times though feels like commercial compromise distinctive art superior animated works
-0.0258,Zootopia ,0.256,0.542,0.202,film superficially great plastered screenplay lurks beneath poking ugly head early often
0.8074,Zootopia ,0.102,0.554,0.344,clever zootopia takes normal feel good positive messages time judging people sex race mixes something mature vintage los angeles like crime noir
0.0,Zootopia ,0.0,1.0,0.0,best animated film seen since incredibles
0.8658,Zootopia ,0.068,0.439,0.493,zootopia brilliant funny story bias empowerment understanding oh entertains tells tale
0.6249,Zootopia ,0.0,0.758,0.242,although would stretching things describe zootopia metaphor modern society underlying message racial tolerance useful lesson everyone
0.0,Zootopia ,0.0,1.0,0.0,zootopia bouncy candy colored animation overt political allegory yet apt movie primary season
