unique_address,lon,lat
"165 ROCKAWAY PARKWAY, NY",-73.921381,40.662722
"596 EAST 22ND STREET, NY",-73.9790323,40.7362352
"125 LENOX ROAD, NY",-73.955224,40.654189
"225 PARK HILL AVENUE, NY",-74.0828059,40.6141819
"423 BALTIC STREET, NY",-73.98775280000001,40.684171
"185 PARK HILL AVENUE, NY",-74.0821516,40.6151566
"190 BUTLER STREET, NY",-73.9874067,40.6821497
"1901 LORING PLACE SOUTH, NY",-73.9148845,40.8543202
"178 ROCKAWAY PARKWAY, NY",-73.921733,40.662095
"1070 EAST NEW YORK AVENUE, NY",-73.926856,40.6650269
"1841 UNIVERSITY AVENUE, NY",-73.914424,40.8515449
"903 DREW STREET, NY",-73.8606975,40.6672739
"1325 FRANKLIN AVENUE, NY",-73.6356709,40.734623
"292 BEDFORD AVENUE, NY",-73.9615859,40.7143927
"538 EAST 21 STREET, NY",-73.9860446,40.7383719
"3415 BROADWAY, NY",-73.95374340000001,40.8225754
"529 SNEDIKER AVENUE, NY",-73.89879599999999,40.661888
"5210 BROADWAY, NY",-73.9080649,40.874716
"1196 EAST NEW YORK AVENUE, NY",-73.9229162,40.6667534
"2 ST NICHOLAS TERRACE, NY",-73.9519449,40.8123668
"150 COURT STREET, NY",-73.993003,40.6889011
"712 CROWN STREET, NY",-73.9337819,40.665047
"341 EAST 19TH STREET, NY",-73.981163,40.735022
"81 AQUADUCT AVENUE, NY",-73.90574769999999,40.86056689999999
"189 MENAHAN STREET, NY",-73.9182979,40.697242
"1553 LEXINGTON AVENUE, NY",-73.9491551,40.7879431
"241 WEST 30TH STREET, NY",-73.9938007,40.7492741
"1160 CROMWELL AVENUE, NY",-73.9230286,40.8344466
"80 NEW YORK AVENUE, NY",-73.94720199999999,40.6772623
"21 EAST 21ST, NY",-73.9888477,40.7397936
"115 WEST 18TH STREET, NY",-73.99564699999999,40.7403679
"1660 MADISON AVENUE, NY",-73.9478736,40.796677
"1309 5TH AVENUE, NY",-73.9486257,40.7971692
"88 STARR STREET, NY",-73.9259546,40.7019562
"74 WEST 165TH STREET, NY",-73.926819,40.833683
"227 SULLIVAN PLACE, NY",-73.953249,40.664791
"2615 3RD AVENUE, NY",-73.9345373,40.80545
"362 3RD AVENUE, NY",-73.9819122,40.7410843
"203 WEST 103RD STREET, NY",-73.96742309999999,40.7987853
"930 PROSPECT PLACE, NY",-73.94583159999999,40.6738939
"540 STATE STREET, NY",-73.979361,40.685339
"260 PARK HILL AVENUE, NY",-74.082752,40.6129444
"275 EAST 205TH STREET, NY",-73.8787418,40.8740852
"196 ROCKAWAY PARKWAY, NY",-73.9211514,40.6619633
"1475 SHERIDAN AVENUE, NY",-73.9119564,40.8403781
"1121 FTELEY AVENUE, NY",-73.871483,40.827653
"88 STREET, NY",-73.9740865,40.7890023
"305 WEST 90 STREET, NY",-73.976236,40.791771
"141 PARK HILL AVENUE, NY",-74.0813098,40.6166418
"750 GRAND CONCOURSE, NY",-73.92410199999999,40.822945
"271 EAST 143 STREET, NY",-73.923852,40.8151107
"1295 5TH AVENUE, NY",-73.9484686,40.7967557
"1775 DAVIDSON AVENUE, NY",-73.91285599999999,40.8490589
"701 WILLOUGHBY AVENUE, NY",-73.9410788,40.6950257
"888 GRAND CONCOURSE, NY",-73.9223875,40.8264752
"17 VANDALIA AVENUE, NY",-73.8874529,40.6499067
"1365 5TH AVENUE, NY",-73.9469821,40.7986631
"120 MENAHAN STREET, NY",-73.9196408,40.6952608
"1111 OCEAN AVENUE, NY",-73.957717,40.634819
"153 EAST 115TH STREET, NY",-73.941748,40.798041
"169 EAST 115TH STREET, NY",-73.9412569,40.797824
"825 CROWN STREET, NY",-73.92997,40.665406
"1030 CARROLL STREET, NY",-73.957122,40.6673647
"74 WEST 103RD STREET  #76, NY",-73.9631285,40.7967089
"1212 GRANT AVENUE, NY",-73.91454399999999,40.83374
"528 KNICKERBOCKER AVENUE, NY",-73.91573989999999,40.6973233
"3603 3RD AVENUE, NY",-73.9345373,40.80545
"1730 CARROLL STREET, NY",-73.929148,40.665657
"1512 TOWNSEND AVENUE, NY",-73.914817,40.8420771
"441 EAST 12 STREET, NY",-73.9814504,40.7292422
"764 MANHATTAN AVENUE, NY",-73.95372130000001,40.8092891
"156 5TH AVENUE, NY",-73.9910549,40.7399443
"88TH STREET AND EAST END AVENUE, NY",-73.9438311,40.7762462
