airportCode|airportLongName|dTime|dDate|airportCode|airportLongName|arrTime|arrDate|durHours|durMins|stops|price|fx|airline|airlineCode|stopName|stopHours|stopMins|stopType|segKey|tripKey|timeStamp
airportCode|airportLongName|dTime|dDate|airportCode|airportLongName|arrTime|arrDate|durHours|durMins|stops|price|fx|airline|airlineCode|stopName|stopHours|stopMins|stopType|segKey|tripKey|timeStamp
HKG|Hong Kong Intl.|2:45p|3/15/2017|LGA|LaGuardia|10:42p|3/15/2017|19|57|1|939.26|USD|American Airlines|[u'AA']|Dallas (Dallas-Fort Worth Intl.)|2|8|Layover|5e41d317-2ff6-47a2-8848-2c1ac5fe4924|b36ce68466a9e2a86191114166550700|2017-02-12 16:02:49.005000
JFK|John F. Kennedy Intl.|8:15p|3/5/2017|HKG|Hong Kong Intl.|12:25p|3/7/2017|27|10|2|1296.76|USD|Singapore Airlines|[u'SQ', u'SQ']|Frankfurt  (Frankfurt Intl.)|1|50|Layover|5e41d317-2ff6-47a2-8848-2c1ac5fe4924|10be77463c8ac0de487075e2346823aa|2017-02-12 16:02:49.005000
LGA|LaGuardia|7:45a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|23|10|1|998.56|USD|American Airlines|[u'AA', u'AA']|Chicago (ORD)|4|35|Layover|b99e4686-923e-4642-91b7-93bf7c4372ca|b1518ee646da1cc87c94bf38a9c1cc6c|2017-02-12 16:03:02.480000
JFK|John F. Kennedy Intl.|12:15p|3/5/2017|HKG|Hong Kong Intl.|10:35p|3/6/2017|21|20|1|1533.86|USD|Japan Airlines|[u'JL', u'JL']|Tokyo (NRT)|1|35|Layover|b99e4686-923e-4642-91b7-93bf7c4372ca|82f1791801437b43bf4ba45bd0ce29c5|2017-02-12 16:03:02.481000
EWR|Liberty Intl.|7:00a|3/5/2017|HKG|Hong Kong Intl.|8:05p|3/6/2017|24|5|1|722.76|USD|United|[u'UA', u'UA']|San Francisco (SFO)|3|7|Layover|b99e4686-923e-4642-91b7-93bf7c4372ca|19d0ff7825d2e1c3b65c0ea16029825a|2017-02-12 16:03:02.481000
LGA|LaGuardia|7:45a|3/5/2017|HKG|Hong Kong Intl.|7:55p|3/6/2017|23|10|1|1057.56|USD|American Airlines|[u'AA', u'AA']|Chicago (ORD)|4|35|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|b1518ee646da1cc87c94bf38a9c1cc6c|2017-02-12 16:03:13.672000
JFK|John F. Kennedy Intl.|12:15p|3/5/2017|HKG|Hong Kong Intl.|10:35p|3/6/2017|21|20|1|1592.86|USD|Japan Airlines|[u'JL', u'JL']|Tokyo (NRT)|1|35|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|82f1791801437b43bf4ba45bd0ce29c5|2017-02-12 16:03:13.673000
EWR|Liberty Intl.|7:00a|3/5/2017|HKG|Hong Kong Intl.|8:05p|3/6/2017|24|5|1|741.76|USD|United|[u'UA', u'UA']|San Francisco (SFO)|3|7|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|19d0ff7825d2e1c3b65c0ea16029825a|2017-02-12 16:03:13.673000
EWR|Liberty Intl.|9:30p|3/5/2017|HKG|Hong Kong Intl.|2:20p|3/7/2017|27|50|1|3264.96|USD|British Airways|[u'BA', u'BA']|London (LHR)|9|15|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|da5674758df22c7ffa17d71876e3ca75|2017-02-12 16:03:13.673000
JFK|John F. Kennedy Intl.|12:20a|3/5/2017|HKG|Hong Kong Intl.|4:00p|3/6/2017|26|40|1|688.66|USD|EVA Airways|[u'BR', u'BR']|Taipei (Taoyuan Intl.)|8|40|Layover|c847ca99-35a9-4563-8298-e83b8c4384c4|72053bd967485f6e691b3b05ca840de9|2017-02-12 16:03:13.673000
