*batteries not included (1987),6.5
12 Angry Men (1957),8.9
13 Going on 30 (2004),6.1
15 Minutes (2001),6.1
25th Hour (2002),7.7
A Perfect Murder (1998),6.5
A Thousand Clowns (1965),7.6
Across the Sea of Time (1995),6.5
After Hours (1985),7.7
Alice (1990),6.6
American Psycho (2000),7.6
An Unmarried Woman (1978),7.2
Annie Hall (1977),8.1
Arthur (1981),6.9
As Good as It Gets (1997),7.7
Barefoot in the Park (1967),7.0
Basquiat (1996),6.9
Bed of Roses (1996),6.0
Big (1988),7.3
Blue in the Face (1995),6.7
Breakfast at Tiffany's (1961),7.7
Broadway Danny Rose (1984),7.5
Cagney & Lacey,6.8
Center Stage (2000),6.7
Chasing Amy (1997),7.3
Chelsea Walls (2001),5.1
Clockers (1995),6.9
Coogan's Bluff (1968),6.5
Cotton Comes to Harlem (1970),6.6
Crocodile Dundee II (1988),5.5
Crocodile Dundee (1986),6.5
Crooklyn (1994),6.9
Crossing Delancey (1988),6.9
Cruising (1980),6.4
Death Wish (1974),7.0
Death to Smoochy (2002),6.4
Desperately Seeking Susan (1985),5.9
Die Hard with a Vengeance (1995),7.6
Do the Right Thing (1989),7.9
Dog Day Afternoon (1975),8.0
Downtown 81 (1981),7.2
Eternal Sunshine of the Spotless Mind (2004),8.3
Fame (1980),6.6
Ferry Tales (2003),7.7
Force of Evil (1948),7.4
Fort Apache the Bronx (1981),6.7
Ghostbusters (1984),7.8
Godspell (1973),6.5
Godzilla (1998),5.3
Goodfellas (1990),8.7
Green Card (1990),6.2
Greetings (1968),5.8
Hair (1979),7.6
Hannah and Her Sisters (1986),8.0
Heights (2005),7.0
Hitch (2005),6.6
Hudson Hawk (1991),5.7
I Like It Like That (1994),6.8
I Shot Andy Warhol (1996),6.6
Inside Man (2006),7.6
It Could Happen to You (1994),6.3
Jeremy (1973),7.0
Jumpin' at the Boneyard (1991),5.7
Jungle Fever (1991),6.5
Kids (1995),7.0
Killer's Kiss (1955),6.7
King Kong (1976),5.8
Kissing Jessica Stein (2001),6.7
Klute (1971),7.2
Kojak,7.1
Kramer vs. Kramer (1979),7.8
Late Show with David Letterman,6.9
Law & Order,7.7
Little Fugitive (1953),7.7
Little Manhattan (2005),7.6
Luv (1967),5.4
Léon: The Professional (1994),8.6
Mad Hot Ballroom (2005),7.5
Malcolm X (1992),7.7
Man Push Cart (2005),7.2
Manhattan (1979),8.0
Marty (1955),7.7
McCloud,7.0
Mean Streets (1973),7.4
Men in Black (1997),7.3
Midnight Cowboy (1969),7.9
Mirage (1965),7.4
Mo' Better Blues (1990),6.6
My Dinner with Andre (1981),7.8
New Jack City (1991),6.6
"Next Stop, Greenwich Village (1976)",7.0
Nighthawks (1981),6.4
No Way to Treat a Lady (1968),7.1
North by Northwest (1959),8.4
On the Town (1949),7.6
On the Waterfront (1954),8.2
One Fine Day (1996),6.5
Other People's Money (1991),6.1
Pieces of April (2003),7.1
Plaza Suite (1971),6.6
Prime (2005),6.2
Ragtime (1981),7.3
Report to the Commissioner (1975),6.4
Requiem for a Dream (2000),8.4
Rosemary's Baby (1968),8.0
Saturday Night Fever (1977),6.8
Searching for Bobby Fischer (1993),7.5
Serpico (1973),7.8
Sesame Street,8.2
Sex and the City,7.0
Shadows (1959),7.4
Shaft (1971),6.6
Shaft (2000),5.9
She's the One (1996),6.1
Single White Female (1992),6.3
Six Degrees of Separation (1993),6.9
Sleepers (1996),7.6
Smithereens (1982),6.7
Smoke (1995),7.4
Sophie's Choice (1982),7.7
Spider-Man (2002),7.3
Splash (1984),6.2
State of Grace (1990),7.3
Sugar Hill (1993),5.9
Summer of Sam (1999),6.6
Sweet Home Alabama (2002),6.2
Sweet November (1968),7.1
Sweet Smell of Success (1957),8.2
Taxi Driver (1976),8.3
The Anderson Tapes (1971),6.4
The April Fools (1969),6.4
The Basketball Diaries (1995),7.3
The Bonfire of the Vanities (1990),5.5
The Brother from Another Planet (1984),6.8
The Brothers McMullen (1995),6.6
The Cotton Club (1984),6.5
The Cowboy Way (1994),5.8
The Devil's Advocate (1997),7.5
The Fisher King (1991),7.6
The French Connection (1971),7.8
The Godfather: Part II (1974),9.0
The Honeymooners,8.7
The Hours (2002),7.6
The Interpreter (2005),6.4
The Landlord (1970),6.9
The Lost Weekend (1945),8.0
The Naked City (1948),7.7
The Night They Raided Minsky's (1968),6.1
The Out of Towners (1970),7.1
The Panic in Needle Park (1971),7.1
The Pawnbroker (1964),7.8
The Pick-up Artist (1987),5.2
The Pickle (1993),4.4
The Prisoner of Second Avenue (1975),6.8
The Producers (1967),7.7
The Producers (2005),6.4
The Royal Tenenbaums (2001),7.6
The Seven Year Itch (1955),7.2
The Siege (1998),6.3
The Sopranos,9.2
The Squid and the Whale (2005),7.4
The Taking of Pelham One Two Three (1974),7.7
The Warriors (1979),7.7
The Wiz (1978),5.3
The Wrong Man (1956),7.5
Three Days of the Condor (1975),7.5
Times Square (1980),6.7
Tootsie (1982),7.4
Two for the Seesaw (1962),6.8
Up the Down Staircase (1967),7.6
Up the Sandbox (1972),6.7
Uptown Girls (2003),6.1
Vanilla Sky (2001),6.9
Wall Street (1987),7.4
West Side Story (1961),7.6
When Harry Met Sally... (1989),7.6
Wolfen (1981),6.3
Working Girl (1988),6.7
You're a Big Boy Now (1966),6.3
You've Got Mail (1998),6.6
