Year,Rank,Name,College,Conference,Games,XPM,XPA,XP_Per,FGM,FGA,FG_Per,Points
2000,1,Nick Calaycay,Boise State,Big West,11,59,61,96.7,15,16,93.8,104
2000,2,Steve Azar,Northern Illinois,MAC,9,38,40,95,14,15,93.3,80
2000,3,Billy Bennett,Georgia,SEC,11,24,26,92.3,13,14,92.9,63
2000,4,Alex Walls,Tennessee,SEC,11,39,39,100,18,20,90,93
2000,5,Jonathan Ruffin,Cincinnati,CUSA,11,26,27,96.3,26,29,89.7,104
2000,6,Jonathon Ruffin,Cincinnati,CUSA,12,26,27,96.3,26,29,89.7,104
2000,7,Chris Kaylakie,Texas Christian,WAC,11,50,51,98,16,18,88.9,98
2000,8,Seth Hanson,Kentucky,SEC,11,23,24,95.8,15,17,88.2,68
2000,9,Mike Sutphin,Boston College,Big East,11,38,40,95,12,14,85.7,74
2000,10,Jamie Rheem,Kansas State,Big 12,12,49,50,98,17,20,85,100
2000,11,Kris Stockton,Texas,Big 12,11,41,44,93.2,22,26,84.6,107
2000,12,Brian Kelly,Middle Tennessee State,Ind,11,39,44,88.6,11,13,84.6,72
2000,13,Jeff Chandler,Florida,SEC,12,49,53,92.5,16,19,84.2,97
2000,14,Ryan Cesca,Oregon State,Pac-10,12,46,47,97.9,16,19,84.2,94
2000,15,Terence Kitchens,Texas A&M,Big 12,11,34,36,94.4,15,18,83.3,79
2000,16,Jeff Reed,North Carolina,ACC,11,30,30,100,16,20,80,78
2000,17,Dan Stultz,Ohio State,Big Ten,12,34,37,91.9,19,24,79.2,91
2000,18,Dave Adams,Air Force,MWC,11,37,39,94.9,19,24,79.2,94
2000,19,Owen Pochman,Brigham Young,MWC,12,29,29,100,19,24,79.2,86
2000,20,Rhett Gallego,Alabama-Birmingham,CUSA,11,23,24,95.8,19,24,79.2,80
2000,21,Todd France,Toledo,MAC,11,49,49,100,15,19,78.9,94
2000,22,Toller Starnes,Eastern Michigan,MAC,11,22,23,95.7,11,14,78.6,55
2000,23,Damon Duval,Auburn,SEC,12,34,34,100,14,18,77.8,76
2000,24,Javier Beorlegui,Central Florida,Ind,11,39,40,97.5,14,18,77.8,81
2000,25,John Markham,Vanderbilt,SEC,11,19,21,90.5,14,18,77.8,61
2000,26,Sean Keel,Arizona,Pac-10,11,25,26,96.2,13,17,76.5,64
2000,27,Tim Long,Northwestern,Big Ten,12,50,52,96.2,13,17,76.5,89
2000,28,Seth Marler,Tulane,CUSA,11,37,39,94.9,16,21,76.2,85
2000,29,Luke Manget,Georgia Tech,ACC,11,38,38,100,12,16,75,74
2000,30,Andy Payne,Indiana,Big Ten,11,38,39,97.4,9,12,75,65
2000,31,Chris Griffith,UCLA,Pac-10,11,42,44,95.5,9,12,75,69
2000,32,David Hills,Navy,Ind,11,17,18,94.4,9,12,75,44
2000,33,Nick Gatto,Arkansas State,Big West,11,24,28,85.7,9,12,75,51
2000,34,David Greene,Virginia,ACC,11,27,28,96.4,11,15,73.3,60
2000,35,Kent Passingham,North Carolina State,ACC,11,36,38,94.7,13,18,72.2,75
2000,36,Ricky Bishop,Texas-El Paso,WAC,11,40,43,93,13,18,72.2,79
